percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,80,0.8322360248447205,0.009423610999663714,0.1372658610343933,0.01573743574923414,0.8343478260869566,0.0014957069706962884
1.0,161,0.8421739130434782,0.004254091633830505,0.24551624059677124,0.010826153434313122,0.8417391304347825,0.0012380883136833278
2.0,322,0.8427329192546583,0.00445476300050709,0.42291808128356934,0.01588488637557981,0.8425879917184265,0.0017571529931857735
4.0,644,0.8422981366459628,0.00366985621036585,0.9697847962379456,0.023448061567659655,0.8431884057971014,0.0022871990856549143
6.0,966,0.8444099378881988,0.004180913236657514,1.5007485151290894,0.04936713650679833,0.8430434782608696,0.0009995948409584595
8.0,1288,0.8420496894409937,0.0065905860312400425,2.1783570647239685,0.06168860628038631,0.843664596273292,0.0023323879622363613
10.0,1610,0.8452795031055901,0.004602564101875234,2.8530983328819275,0.046228843200042974,0.8432712215320912,0.0017853466780381202
14.0,2254,0.8436024844720498,0.005084070044641305,4.512145936489105,0.03179759880769891,0.8433333333333334,0.0020748399455608026
16.0,2576,0.83944099378882,0.004609264835689899,5.633377552032471,0.11740683040476171,0.8443271221532092,0.0018071818493086078
18.0,2898,0.844223602484472,0.0031179876765245,6.4317039251327515,0.08334304089289549,0.8444099378881986,0.0016742046272914424
20.0,3220,0.8462111801242236,0.008198757763975155,7.571987688541412,0.062386037224050436,0.8449482401656314,0.0022124165865442347
25.0,4025,0.844223602484472,0.004017630218334435,10.899571597576141,0.049822181927767786,0.8446376811594203,0.001798265072514146
