,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,7,0.6197916666666666,0.012386322021484375,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 100.0}",0.7343178410794602,0.7343178410794602,0.034106295164094545,0.02553534507751465,0.005416278939073351
1,1,7,0.7291666666666666,0.009361028671264648,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7640179910044977,0.7640179910044977,0.04624500907649708,0.009549522399902343,0.0015267180177047936
2,1,7,0.7083333333333334,0.014748811721801758,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.746536731634183,0.746536731634183,0.03935965993087871,0.011465024948120118,0.00027242731365220447
3,1,7,0.75,0.010259866714477539,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7256371814092953,0.7256371814092953,0.028306863499144703,0.01047344207763672,0.0020633533318096054
4,2,15,0.8020833333333334,0.027187108993530273,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 100.0}",0.7586956521739131,0.7586956521739131,0.047667721995359125,0.01528935432434082,0.001055256310806275
5,2,15,0.7447916666666666,0.009638309478759766,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7742728635682159,0.7742728635682159,0.029835549558246025,0.00872659683227539,0.0019116126439355703
6,2,15,0.734375,0.023652076721191406,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7847676161919042,0.7847676161919042,0.022441449495072673,0.011531305313110352,0.0019389701335649483
7,2,15,0.7239583333333334,0.011308431625366211,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 6.30957344480193}",0.7517091454272864,0.7517091454272864,0.027494813079243712,0.012192726135253906,0.003668670696515695
8,4,30,0.7916666666666666,0.012506961822509766,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7621439280359821,0.7621439280359821,0.03509200398088458,0.01021418571472168,0.0018993526918039897
9,4,30,0.75,0.012400388717651367,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7812293853073463,0.7812293853073463,0.04028833632912037,0.014225578308105469,0.0003786064095031265
