percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,3,0.20042222004813692,0.0,0.0034546852111816406,0.0,0.21598816496943063,0.0,0.21598816496943063,0.21035218753882076
2,6,0.14772144772106766,0.0,0.003170490264892578,0.0,0.48676641206856264,0.0,0.48676641206856264,0.20246615487941505
4,13,0.7704090471014333,0.0,0.003324747085571289,0.0,0.7278308010642505,0.0,0.7278308010642505,0.05682889067126811
5,16,0.758748873769108,0.0,0.004218339920043945,0.0,0.7969450879691937,0.0,0.7969450879691937,0.049495256918093755
7,23,0.7006560885688988,0.0,0.0036056041717529297,0.0,0.8061613127392446,0.0,0.8061613127392446,0.036717390490673504
9,30,0.7587916888853915,0.0,0.003887176513671875,0.0,0.8101224307361223,0.0,0.8101224307361223,0.035182864190472146
10,33,0.7764079812386453,0.0,0.007314205169677734,0.0,0.809503152059664,0.0,0.809503152059664,0.03801376534804948
12,40,0.7848435878652869,0.0,0.0039033889770507812,0.0,0.810237027523933,0.0,0.810237027523933,0.034627892011174596
13,43,0.7768209994112164,0.0,0.015616178512573242,0.0,0.8052959290385985,0.0,0.8052959290385985,0.04048091418304047
15,50,0.7804017881411026,0.0,0.01678299903869629,0.0,0.8083287687533562,0.0,0.8083287687533562,0.03412183787345912
17,57,0.7803405109128523,0.0,0.016815662384033203,0.0,0.8090158445063853,0.0,0.8090158445063853,0.03833153587256859
18,60,0.7768907683345178,0.0,0.01669621467590332,0.0,0.8091642244047668,0.0,0.8091642244047668,0.03653060170592928
20,67,0.78930883343651,0.0,0.012094259262084961,0.0,0.8121602722611178,0.0,0.8121602722611178,0.03423550076152843
21,70,0.7839094586878099,0.0,0.008202075958251953,0.0,0.8086358914445553,0.0,0.8086358914445553,0.03675168343529871
23,77,0.7581898765295857,0.0,0.018728017807006836,0.0,0.8067594276193072,0.0,0.8067594276193072,0.022121372650957004
25,84,0.7828380816334545,0.0,0.010128974914550781,0.0,0.808837073381496,0.0,0.808837073381496,0.03523757154666463
