n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,score-mean,score-std
321,0.0009146690368652344,4.183773954226637e-05,0.018784713745117188,0.0007703204746128555,0.5568109496811924,0.053918877284125165
378,0.0010347843170166015,2.466704936083481e-05,0.024688005447387695,0.009986162857350725,0.5548410276501781,0.08323744304390467
436,0.0011516094207763671,4.574388354827788e-05,0.024900341033935548,0.0042937056380339764,0.5708618410697284,0.06944481442653101
493,0.0012433052062988282,1.7214415796220444e-05,0.02966904640197754,0.010435041239499477,0.534881655333075,0.0364869573562187
551,0.0013586521148681641,3.9850365691421846e-05,0.032266998291015626,0.005776537311937082,0.5648604496724283,0.022795216060814166
609,0.0015012264251708985,6.580991990376568e-05,0.034194564819335936,0.005147126491652178,0.5231353443076461,0.04392486049909141
666,0.001600790023803711,4.5691662640946874e-05,0.05458569526672363,0.047680150348161296,0.5368111544038727,0.03398367041547842
724,0.0017236709594726563,5.5126428042666775e-05,0.04516568183898926,0.01512946242150314,0.5256591915433598,0.053748524302847135
781,0.0018274784088134766,2.2617744097010225e-05,0.03862462043762207,0.001120758694681995,0.5448228792959233,0.03284130449926138
839,0.001970815658569336,8.846990347104251e-05,0.04506187438964844,0.005776826358486976,0.5202866725437256,0.034702209105595724
896,0.002064943313598633,6.412994445880094e-05,0.05812540054321289,0.029195408226067757,0.5430624439336647,0.03649271470069813
954,0.0021859169006347655,1.706783972791717e-05,0.0665349006652832,0.043679965063322244,0.562592662136919,0.038283106266988234
1011,0.0023011207580566407,1.731335902356035e-05,0.07362422943115235,0.050339017915086805,0.5678064923259821,0.034874595619056835
1069,0.002456951141357422,9.694484664572823e-05,0.060733795166015625,0.016055536746788987,0.5279502513635658,0.030113982672163423
1127,0.002595376968383789,0.00010090112570668916,0.05975918769836426,0.009861989958301069,0.547267473265742,0.02550161415170124
1184,0.0026502132415771483,6.428562519492393e-05,0.07734894752502441,0.038362962493080195,0.5368306288083637,0.0183978407497189
1242,0.002756977081298828,4.106534230540173e-05,0.06864228248596191,0.012353684821639994,0.5573917086405176,0.03042427877387945
1299,0.0029338836669921876,7.577859902217344e-05,0.07425413131713868,0.019018191709042936,0.5380235769786257,0.03250915465092802
1357,0.0030072689056396484,4.937469754549523e-05,0.0786623477935791,0.02105268050347005,0.545535524723848,0.027359840150867863
1414,0.0030915260314941405,4.105662080081821e-05,0.08139891624450683,0.01856601485857434,0.518385721568809,0.03329698855733517
1472,0.0032196044921875,5.547063282814068e-05,0.08373103141784669,0.01581764172191687,0.5556403096745262,0.02210148183862524
1529,0.003431558609008789,0.00016176485363815276,0.10946621894836425,0.06472879184518979,0.5382495613140182,0.022574112604006474
1587,0.0035144329071044923,6.367485838312101e-05,0.09249629974365234,0.018068857928451944,0.5428190737084498,0.023977868466854953
1645,0.003654289245605469,8.697645704980565e-05,0.09887661933898925,0.02587774136965641,0.5288828173520421,0.02654057004265287
1702,0.0037409305572509766,3.4460599478923776e-05,0.11103215217590331,0.04830268377106757,0.537404288178407,0.018623131191240153
1760,0.003869438171386719,5.2938213478378265e-05,0.10538415908813477,0.025276793144139626,0.5345158041133373,0.011786304280452757
1817,0.003955984115600586,3.8901554874420126e-05,0.11121077537536621,0.03309508069999705,0.5434550348225382,0.029172580714979215
1875,0.004061746597290039,3.206060651694439e-05,0.12044305801391601,0.04904232946527205,0.5588473695464693,0.023415573237909822
1932,0.0042209625244140625,8.27436135583286e-05,0.12398328781127929,0.039826762210948226,0.5318989158255536,0.01925749301045032
1990,0.004314804077148437,6.416175756447994e-05,0.11205482482910156,0.01243731182064384,0.5416733199166911,0.03415784437940046
2048,0.004412651062011719,2.7702248578957186e-05,0.11404232978820801,0.012570148709939371,0.5494892417138635,0.024964006453473676
2105,0.004552650451660156,2.8525863872567267e-05,0.11251306533813477,0.0008636325115998928,0.5296300854843217,0.01307571390187717
2163,0.004670619964599609,3.606076082904063e-05,0.11795096397399903,0.001849862003044498,0.5331952984290826,0.0250102363781446
2220,0.004780769348144531,2.0025031794071454e-05,0.12085671424865722,0.0019417178928842756,0.5463940080593928,0.01044938012489908
2278,0.004917287826538086,8.494195168467923e-06,0.12391767501831055,0.0010884667584056557,0.5486601675178124,0.01990473187974506
2335,0.005000400543212891,4.828561935689209e-05,0.12608757019042968,0.0015638632442654334,0.5288554936761394,0.022369293262116993
2393,0.005109930038452148,5.085463262306012e-05,0.13295021057128906,0.007979271876372741,0.5324766792365292,0.030332442239508747
2450,0.005264902114868164,3.200390907012965e-05,0.13101773262023925,0.002178207466458621,0.5380406830214839,0.011399040993683636
2508,0.005335664749145508,4.844493046265877e-05,0.13644161224365234,0.004588644523940908,0.557950709779256,0.019639136421943634
2566,0.005485153198242188,3.880206523733571e-05,0.13699955940246583,0.0021972379270333545,0.5516859073961359,0.027166255282421406
