n-components,fit-time-random-feature,transform-time-random-feature,training-time-linear-ridge-classification,prediction-time-linear-ridge-classification,score-in-test-linear-ridge-classification
321,0.0005488395690917969,0.023891925811767578,0.020338058471679688,0.0026869773864746094,0.8443416070677324
378,0.0006098747253417969,0.01906609535217285,0.03162693977355957,0.0037212371826171875,0.8434619650437909
436,0.0006480216979980469,0.022223234176635742,0.04091310501098633,0.0033500194549560547,0.843920908708456
493,0.0007150173187255859,0.021550893783569336,0.04511308670043945,0.003774881362915039,0.8436914368761235
551,0.0007660388946533203,0.023672103881835938,0.06456685066223145,0.004024028778076172,0.8440738899300111
609,0.0008199214935302734,0.03199577331542969,0.063201904296875,0.0048449039459228516,0.8441503805407886
666,0.0008790493011474609,0.04035687446594238,0.06350898742675781,0.005522966384887695,0.8444563429838987
724,0.0009589195251464844,0.041235923767089844,0.0779578685760498,0.005900144577026367,0.8438444180976785
781,0.003075838088989258,0.04203224182128906,0.09930586814880371,0.006278038024902344,0.84441809767851
839,0.0010569095611572266,0.042993783950805664,0.09467482566833496,0.006164073944091797,0.8441503805407886
896,0.0011038780212402344,0.04355621337890625,0.10454106330871582,0.007513761520385742,0.8445328335946762
954,0.0011670589447021484,0.04442906379699707,0.10140275955200195,0.00675201416015625,0.8444563429838987
1011,0.0013091564178466797,0.04756307601928711,0.11753296852111816,0.0070798397064208984,0.843920908708456
1069,0.0012919902801513672,0.04931306838989258,0.12543177604675293,0.0075380802154541016,0.8442651164569549
1127,0.0014109611511230469,0.05159807205200195,0.14579200744628906,0.008114814758300781,0.8441886258461774
1184,0.0013918876647949219,0.0541691780090332,0.13137197494506836,0.009053230285644531,0.8440738899300111
1242,0.0014688968658447266,0.05826878547668457,0.15836596488952637,0.009402036666870117,0.8441503805407886
1299,0.0014829635620117188,0.06069207191467285,0.13730692863464355,0.009320974349975586,0.8440356446246223
1357,0.0016608238220214844,0.06402707099914551,0.17082500457763672,0.009599924087524414,0.8441121352353999
1414,0.0016469955444335938,0.06429409980773926,0.15482592582702637,0.0099639892578125,0.8443033617623437
1472,0.001683950424194336,0.06587791442871094,0.17243719100952148,0.010222196578979492,0.8439591540138448
1529,0.0019791126251220703,0.06774091720581055,0.17483878135681152,0.010679006576538086,0.8443416070677324
1587,0.0017931461334228516,0.07086992263793945,0.1900019645690918,0.011427640914916992,0.8442651164569549
1645,0.001934051513671875,0.07431387901306152,0.2039628028869629,0.011539936065673828,0.8441503805407886
1702,0.0019037723541259766,0.07515192031860352,0.21115922927856445,0.012115955352783203,0.8442268711515661
1760,0.0019719600677490234,0.0777590274810791,0.22431588172912598,0.012501955032348633,0.8442651164569549
1817,0.002020120620727539,0.07947897911071777,0.30114102363586426,0.013299942016601562,0.8440356446246223
1875,0.0020952224731445312,0.08929800987243652,0.2969231605529785,0.013486146926879883,0.8439973993192336
1932,0.002135038375854492,0.08333897590637207,0.3183932304382324,0.014217853546142578,0.8442268711515661
1990,0.0022363662719726562,0.0875399112701416,0.3133811950683594,0.014158964157104492,0.8441121352353999
2048,0.002318143844604492,0.08840179443359375,0.3908562660217285,0.02358698844909668,0.8442268711515661
2105,0.0023550987243652344,0.09207606315612793,0.34540605545043945,0.015217781066894531,0.8443033617623437
2163,0.0024461746215820312,0.0970458984375,0.42633485794067383,0.015742063522338867,0.8440356446246223
2220,0.0024251937866210938,0.10497474670410156,0.46268796920776367,0.01615118980407715,0.8442268711515661
2278,0.0027060508728027344,0.10286879539489746,0.4745020866394043,0.016238689422607422,0.84441809767851
2335,0.0025339126586914062,0.10360598564147949,0.3589940071105957,0.01551508903503418,0.8441503805407886
2393,0.0026040077209472656,0.10504817962646484,0.4116196632385254,0.016431093215942383,0.8441121352353999
2450,0.0026590824127197266,0.10756301879882812,0.46048402786254883,0.016843080520629883,0.8441886258461774
2508,0.0028197765350341797,0.10874700546264648,0.5023281574249268,0.017496109008789062,0.8442651164569549
2566,0.0028638839721679688,0.12084007263183594,0.4797828197479248,0.018078088760375977,0.8442651164569549
321,0.0005359649658203125,0.01442265510559082,0.06686806678771973,0.0030829906463623047,0.8440356446246223
378,0.0005939006805419922,0.01767587661743164,0.050688743591308594,0.003325939178466797,0.8444945882892875
436,0.0006499290466308594,0.024061918258666992,0.06667304039001465,0.003923892974853516,0.8441886258461774
493,0.0007088184356689453,0.02887582778930664,0.055650949478149414,0.003961086273193359,0.8441121352353999
551,0.0007691383361816406,0.03068995475769043,0.04903721809387207,0.004466056823730469,0.8439591540138448
609,0.0008261203765869141,0.026227951049804688,0.07093310356140137,0.004562854766845703,0.8439973993192336
666,0.0008769035339355469,0.037847042083740234,0.07816505432128906,0.005658864974975586,0.8439591540138448
724,0.0009291172027587891,0.0337982177734375,0.06808185577392578,0.00533294677734375,0.843920908708456
781,0.0009789466857910156,0.03826785087585449,0.07452273368835449,0.0063762664794921875,0.8439973993192336
839,0.0010471343994140625,0.04402780532836914,0.09056806564331055,0.006246805191040039,0.8446475695108425
896,0.0011031627655029297,0.0487360954284668,0.11623501777648926,0.00693202018737793,0.8442268711515661
954,0.001149892807006836,0.04775118827819824,0.13734197616577148,0.007122993469238281,0.8439973993192336
1011,0.0012159347534179688,0.047094106674194336,0.1201319694519043,0.0073320865631103516,0.8441886258461774
1069,0.0013000965118408203,0.049593210220336914,0.11584830284118652,0.00864267349243164,0.8443416070677324
1127,0.0013382434844970703,0.05172896385192871,0.1260700225830078,0.009184837341308594,0.8441886258461774
1184,0.0016841888427734375,0.0562129020690918,0.18548989295959473,0.009724855422973633,0.8440356446246223
1242,0.0015149116516113281,0.0552370548248291,0.16487407684326172,0.009602785110473633,0.8443798523731212
1299,0.0015921592712402344,0.05736708641052246,0.17383289337158203,0.009583234786987305,0.8445328335946762
1357,0.0016021728515625,0.06249809265136719,0.18036699295043945,0.00997781753540039,0.8444563429838987
1414,0.0016198158264160156,0.06839799880981445,0.17956185340881348,0.009907245635986328,0.8442651164569549
1472,0.0018723011016845703,0.07027125358581543,0.20100092887878418,0.010436773300170898,0.8443798523731212
1529,0.0018308162689208984,0.06891226768493652,0.20488905906677246,0.010680913925170898,0.8444563429838987
1587,0.0019021034240722656,0.07024788856506348,0.1936812400817871,0.011525869369506836,0.8441503805407886
1645,0.0018420219421386719,0.07488799095153809,0.21283292770385742,0.01145792007446289,0.8440356446246223
1702,0.00199127197265625,0.07665705680847168,0.21497297286987305,0.011747121810913086,0.84441809767851
1760,0.0020079612731933594,0.07770824432373047,0.23694109916687012,0.012153148651123047,0.8444945882892875
1817,0.002084016799926758,0.07856011390686035,0.24251008033752441,0.01273488998413086,0.8443033617623437
1875,0.0020630359649658203,0.08201980590820312,0.25869107246398926,0.013321876525878906,0.8440738899300111
1932,0.002536296844482422,0.08624696731567383,0.30308079719543457,0.013354063034057617,0.8443416070677324
1990,0.002226114273071289,0.08792495727539062,0.283984899520874,0.013414144515991211,0.8440356446246223
2048,0.0022389888763427734,0.09068417549133301,0.3209819793701172,0.014054059982299805,0.8443798523731212
2105,0.002279043197631836,0.09125614166259766,0.3043961524963379,0.01523590087890625,0.8443033617623437
2163,0.0024073123931884766,0.09593796730041504,0.31879115104675293,0.014864206314086914,0.8439973993192336
2220,0.002431154251098633,0.09731411933898926,0.418989896774292,0.015729904174804688,0.8442651164569549
2278,0.002496004104614258,0.10140705108642578,0.35577869415283203,0.015422821044921875,0.8443416070677324
2335,0.0025992393493652344,0.1025228500366211,0.40462517738342285,0.017197847366333008,0.8443416070677324
2393,0.002749204635620117,0.10893511772155762,0.5426709651947021,0.017694950103759766,0.8441886258461774
2450,0.0026950836181640625,0.11533164978027344,0.4941730499267578,0.017711162567138672,0.8443033617623437
