n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
27,0.0006908178329467773,0.0008883002574933814,0.0006908178329467773,0.0018651711146499752,0.004632910092671712,0.00022737025852927501,0.001163482666015625,1.283569106928669e-05,0.8059163059163059,0.004256242771645794
44,0.0005395412445068359,2.9889361120371956e-05,0.0005395412445068359,9.033385997985274e-05,0.005051056543986003,9.763078276787658e-05,0.0014352003733317058,2.047718127892347e-05,0.8030303030303031,0.002371093322533223
62,0.0008462667465209961,0.00011597192883900163,0.0008462667465209961,5.3004352133077366e-05,0.006374001502990723,7.557225876895051e-05,0.001940766970316569,8.900924807432382e-06,0.8023088023088022,0.002235488222919161
80,0.001337885856628418,0.00016863032778592307,0.001337885856628418,6.931267272687359e-05,0.007354537645975749,8.576236981690165e-05,0.002397934595743815,4.100152637405231e-05,0.8030303030303031,0.0023710933225332036
97,0.0019168456395467122,0.0003205959027699063,0.0019168456395467122,0.0002730281356568432,0.008709987004597982,0.00018677478768057212,0.002813617388407389,2.1516621818331738e-05,0.8023088023088022,0.002235488222919175
115,0.0031126737594604492,0.0008206180572320466,0.0031126737594604492,7.295509828053719e-05,0.009993632634480795,6.386853564288747e-05,0.003335118293762207,2.7923182545835375e-05,0.8015873015873015,0.001767308616726697
132,0.0043172041575113935,0.00035068400866693775,0.0043172041575113935,0.00044390054991802675,0.010814348856608072,0.00010703795846701523,0.0037016073862711587,0.00022820151402754097,0.8015873015873015,0.001767308616726697
150,0.005822896957397461,0.000867172351012438,0.005822896957397461,0.0005901495950622078,0.012066284815470377,5.100478730924391e-05,0.004142085711161296,7.247507821603151e-05,0.8023088023088022,0.0022354882229191765
168,0.007363279660542806,0.0005902416894004669,0.007363279660542806,0.0006006253554944605,0.013819734255472818,0.0012465373750906103,0.004531701405843099,2.1839801217554656e-05,0.8015873015873015,0.0017673086167267088
185,0.008867780367533365,0.0008304817828090383,0.008867780367533365,0.0005238362254757657,0.014873107274373373,0.00038909107633140544,0.005188862482706706,7.178999449816703e-06,0.8008658008658008,0.0
203,0.010614395141601562,0.0010632407451930965,0.010614395141601562,0.0005936266991867583,0.016299088795979817,0.00013834965393102498,0.005930225054423015,2.57418836965627e-05,0.8008658008658008,0.0
220,0.012242595354715982,0.0009245474520143713,0.012242595354715982,0.0001423175931528265,0.017162521680196125,0.00017921202639018232,0.006430665651957194,0.0003401348476394911,0.8008658008658008,0.0
238,0.014014840126037598,0.0010616028895392548,0.014014840126037598,0.00024156769978707734,0.01893750826517741,4.072665768103623e-05,0.007003188133239746,3.586595278003995e-06,0.8008658008658008,0.0
256,0.017787615458170574,0.0014441429719678944,0.017787615458170574,0.00023072563037187176,0.02045134703318278,5.320644152740497e-05,0.008092800776163736,0.0012087236543232144,0.8008658008658008,0.0
273,0.023090561230977375,0.007535834939684958,0.023090561230977375,0.0007995554188969294,0.02273869514465332,0.0001947132291675153,0.008401036262512207,4.5702235973907587e-05,0.8008658008658008,0.0
291,0.03681870301564535,0.03638353364370883,0.03681870301564535,0.0012687248990090473,0.024296681086222332,8.728786054281849e-05,0.009086251258850098,6.476806468762583e-05,0.8008658008658008,0.0
308,0.03819183508555094,0.03256431554055333,0.03819183508555094,0.0009337216707707798,0.025426586469014485,0.00018688028848464172,0.009565631548563639,0.00028682646561823397,0.8008658008658008,0.0
326,0.033371965090433754,0.006720153698357438,0.033371965090433754,0.0011248962472401622,0.027118364969889324,0.00012067095790197635,0.010120511054992676,3.553148812752812e-05,0.8008658008658008,0.0
343,0.05479661623636881,0.055962114235666355,0.05479661623636881,0.003898918920551539,0.029109875361124676,0.00035186726876693336,0.011047840118408203,0.00027734531446010636,0.8008658008658008,0.0
361,0.059815684954325356,0.047650292572318335,0.059815684954325356,0.00564379868600032,0.03065768877665202,0.0001917448522552107,0.011576414108276367,0.0003120784997854081,0.8008658008658008,0.0
379,0.0684119462966919,0.038688672101591444,0.0684119462966919,0.0009642665693231968,0.03274949391682943,0.00025117257183766145,0.012167970339457193,4.467544736142937e-05,0.8008658008658008,0.0
396,0.05055105686187744,0.021440560742115426,0.05055105686187744,0.0013970986136672312,0.03341372807820638,0.0002276198378031389,0.012566049893697103,0.00018196104811589036,0.8008658008658008,0.0
414,0.04995365937550863,0.006249970996176979,0.04995365937550863,0.0005477697787787288,0.03556251525878906,0.00039328666237253146,0.013473947842915853,0.0003184122894949113,0.8008658008658008,0.0
431,0.08488925298055013,0.06447546977110821,0.08488925298055013,0.0015852999449423933,0.037769476572672524,0.0006159765663622289,0.014065305391947428,6.242678368721219e-05,0.8008658008658008,0.0
449,0.06563834349314372,0.0210148420008436,0.06563834349314372,0.003499319061307063,0.03891297181447347,0.00040579003022932507,0.014529029528299967,5.445793844864853e-05,0.8008658008658008,0.0
467,0.08952001730600993,0.06785900124265097,0.08952001730600993,0.008351320519960473,0.04109350840250651,0.0005771695674283312,0.015323956807454428,0.00015366159115306064,0.8008658008658008,0.0
484,0.08104602495829265,0.03880874522237334,0.08104602495829265,0.0013758634992636824,0.04231123129526774,0.0014845771184741176,0.01562658945719401,3.358899519823121e-05,0.8008658008658008,0.0
502,0.0765985647837321,0.007694833165209624,0.0765985647837321,0.0002499853876565459,0.043527841567993164,0.000199399194624487,0.016381263732910156,0.00016025254735731553,0.8008658008658008,0.0
519,0.07784541447957356,0.003561857595900493,0.07784541447957356,0.000549711650157503,0.04540419578552246,0.00010545272889659996,0.01718417803446452,0.00018169151858106076,0.8008658008658008,0.0
537,0.11307398478190105,0.05107587897179625,0.11307398478190105,0.002300877979114002,0.04735628763834635,0.0006997142427890679,0.017640113830566406,4.400537900810976e-05,0.8008658008658008,0.0
