n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
27,0.0002100070317586263,0.00013685254823564432,0.0002100070317586263,3.501342770695862e-05,0.004640817642211914,0.00016382934007462094,0.0012569824854532878,8.070071528506425e-05,0.7922077922077921,0.027921238955146494
44,0.00012505054473876953,6.314717597078811e-06,0.00012505054473876953,1.9966897668946044e-05,0.005257407824198405,0.00023013321288968373,0.0014435052871704102,4.750809515172502e-05,0.8073593073593074,0.007113279967599616
62,0.00012536843617757162,3.9821375015858935e-06,0.00012536843617757162,3.079512298143614e-05,0.006481448809305827,0.00020046754837683783,0.001981973648071289,4.6432041234315555e-05,0.8030303030303031,0.007621998641410831
80,0.00012858708699544272,5.90136153403504e-06,0.00012858708699544272,2.9703931516845745e-05,0.007477402687072754,0.00015557047049260105,0.002400636672973633,3.346771877449145e-05,0.8066378066378066,0.005242684595839812
97,0.0001327991485595703,8.57776902075533e-06,0.0001327991485595703,3.3805955400467994e-05,0.008749961853027344,0.00017345576750249628,0.0028226375579833984,3.392588311442518e-05,0.8066378066378066,0.005914545896657799
115,0.00013490517934163412,5.136615642089484e-06,0.00013490517934163412,1.8303964345616552e-05,0.009938995043436686,0.00014117347049921825,0.0033142566680908203,1.843208468533275e-05,0.8080808080808081,0.0035346172334533247
132,0.00013947486877441406,7.407109279904807e-06,0.00013947486877441406,3.880570304731154e-05,0.010756134986877441,0.00013945116754630096,0.003607034683227539,4.405392158191719e-05,0.8030303030303031,0.004540298044026636
150,0.00013951460520426431,1.2288776021511698e-06,0.00013951460520426431,3.3252141588415566e-05,0.012297868728637695,0.0002706704711906106,0.004157106081644694,7.768267354846056e-05,0.8059163059163059,0.005753939981926919
168,0.00014332930246988931,5.022470956590782e-06,0.00014332930246988931,3.490847510871087e-05,0.013187209765116373,0.00018692736810478595,0.00455013910929362,5.291360054766556e-05,0.8008658008658008,0.006122136633649748
185,0.00017464160919189453,7.121810790641866e-05,0.00017464160919189453,0.0007546174755075126,0.014960964520772299,0.0005318867981581303,0.005217989285786946,6.910708277941081e-05,0.8051948051948052,0.006706464668757456
203,0.0001499652862548828,5.930826889318891e-06,0.0001499652862548828,4.6548930330044836e-05,0.016437371571858723,0.00020307271742491925,0.005967617034912109,6.087363746457527e-05,0.8066378066378066,0.0035346172334533247
220,0.00015993913014729819,1.510935617583186e-05,0.00015993913014729819,0.00017648081856541406,0.017268856366475422,0.0002619162562423666,0.006305416425069173,4.982535711726028e-05,0.8044733044733045,0.006372121837177386
238,0.00015421708424886069,2.113290784968032e-06,0.00015421708424886069,3.4814228918578404e-05,0.019047021865844727,8.908053251394976e-05,0.007046858469645183,4.7140042035267966e-05,0.8008658008658008,0.0038719791818178275
