n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
27,0.0025038719177246094,0.000823974609375,0.00481724739074707,0.0011861324310302734,0.8008658008658008,0.0012352466583251953,2.9802322387695312e-05,0.7922077922077922
44,0.0005469322204589844,0.0003352165222167969,0.005052804946899414,0.0014379024505615234,0.8051948051948052,0.0014019012451171875,3.504753112792969e-05,0.8008658008658008
62,0.0008709430694580078,0.0005340576171875,0.0064241886138916016,0.001940011978149414,0.8051948051948052,0.0023453235626220703,3.600120544433594e-05,0.7965367965367965
80,0.0016472339630126953,0.0007479190826416016,0.007473945617675781,0.0024449825286865234,0.8051948051948052,0.0031309127807617188,3.790855407714844e-05,0.7965367965367965
97,0.0017061233520507812,0.0006840229034423828,0.008599042892456055,0.0028238296508789062,0.8008658008658008,0.003492116928100586,3.814697265625e-05,0.7965367965367965
115,0.002476930618286133,0.0008459091186523438,0.010103225708007812,0.003365039825439453,0.8008658008658008,0.004395961761474609,4.291534423828125e-05,0.8008658008658008
132,0.003820657730102539,0.0012860298156738281,0.010935783386230469,0.0035898685455322266,0.8008658008658008,0.005020856857299805,4.100799560546875e-05,0.8008658008658008
150,0.007450103759765625,0.0013930797576904297,0.012102842330932617,0.004102945327758789,0.8008658008658008,0.005625009536743164,4.00543212890625e-05,0.8008658008658008
168,0.0071218013763427734,0.0021789073944091797,0.013116121292114258,0.0045070648193359375,0.8008658008658008,0.006234884262084961,4.1961669921875e-05,0.8008658008658008
185,0.008037090301513672,0.002785921096801758,0.01564502716064453,0.0051860809326171875,0.8008658008658008,0.006958961486816406,4.792213439941406e-05,0.8008658008658008
203,0.009807109832763672,0.001728057861328125,0.01622176170349121,0.005922079086303711,0.8008658008658008,0.007593870162963867,7.915496826171875e-05,0.8008658008658008
220,0.011821746826171875,0.002386808395385742,0.017126798629760742,0.006269216537475586,0.8008658008658008,0.008152961730957031,4.7206878662109375e-05,0.8008658008658008
238,0.013411283493041992,0.0017669200897216797,0.01893305778503418,0.006996870040893555,0.8008658008658008,0.008788108825683594,4.792213439941406e-05,0.8008658008658008
256,0.020506858825683594,0.002546072006225586,0.020412206649780273,0.007591962814331055,0.8008658008658008,0.009450912475585938,4.7206878662109375e-05,0.8008658008658008
273,0.01945781707763672,0.0024330615997314453,0.022936105728149414,0.008485794067382812,0.8008658008658008,0.008154153823852539,7.772445678710938e-05,0.8008658008658008
291,0.02032017707824707,0.0027718544006347656,0.024231910705566406,0.00907588005065918,0.8008658008658008,0.010818004608154297,5.2928924560546875e-05,0.8008658008658008
308,0.023524045944213867,0.005400180816650391,0.0257260799407959,0.009449958801269531,0.8008658008658008,0.009273052215576172,5.1975250244140625e-05,0.8008658008658008
326,0.031427860260009766,0.002646923065185547,0.027055978775024414,0.010104894638061523,0.8008658008658008,0.011995315551757812,0.00014591217041015625,0.8008658008658008
343,0.03071904182434082,0.0032739639282226562,0.028920888900756836,0.010929107666015625,0.8008658008658008,0.012666940689086914,5.602836608886719e-05,0.8008658008658008
361,0.03832602500915527,0.005071163177490234,0.0306398868560791,0.012195110321044922,0.8008658008658008,0.013701677322387695,6.699562072753906e-05,0.8008658008658008
379,0.11828112602233887,0.0053942203521728516,0.03280496597290039,0.012154102325439453,0.8008658008658008,0.013984918594360352,0.00038909912109375,0.8008658008658008
396,0.04238009452819824,0.007672786712646484,0.03324103355407715,0.012478113174438477,0.8008658008658008,0.01455378532409668,0.00010776519775390625,0.8008658008658008
414,0.045491933822631836,0.0041429996490478516,0.03524184226989746,0.013991832733154297,0.8008658008658008,0.01285099983215332,6.794929504394531e-05,0.8008658008658008
431,0.07813596725463867,0.004569053649902344,0.038030147552490234,0.014146089553833008,0.8008658008658008,0.01611018180847168,6.413459777832031e-05,0.8008658008658008
449,0.05860018730163574,0.008154153823852539,0.03856801986694336,0.014503955841064453,0.8008658008658008,0.0165560245513916,0.00044918060302734375,0.8008658008658008
467,0.0640401840209961,0.00475621223449707,0.0408930778503418,0.015269994735717773,0.8008658008658008,0.013931989669799805,6.508827209472656e-05,0.8008658008658008
484,0.0658869743347168,0.004549980163574219,0.04145693778991699,0.01562976837158203,0.8008658008658008,0.017850875854492188,6.866455078125e-05,0.8008658008658008
502,0.07146906852722168,0.0050199031829833984,0.043421030044555664,0.01630878448486328,0.8008658008658008,0.018496036529541016,0.0001430511474609375,0.8008658008658008
519,0.08215093612670898,0.005812883377075195,0.04543590545654297,0.01707005500793457,0.8008658008658008,0.019153833389282227,9.608268737792969e-05,0.8008658008658008
537,0.08436894416809082,0.005527019500732422,0.046913862228393555,0.017647266387939453,0.8008658008658008,0.019776105880737305,7.009506225585938e-05,0.8008658008658008
27,0.0003199577331542969,0.00031828880310058594,0.00473332405090332,0.0011570453643798828,0.8051948051948052,0.0011608600616455078,2.7894973754882812e-05,0.7965367965367965
44,0.0005590915679931641,0.0005829334259033203,0.00505375862121582,0.0014293193817138672,0.8008658008658008,0.001374959945678711,3.504753112792969e-05,0.8008658008658008
62,0.0008208751678466797,0.0006291866302490234,0.006448984146118164,0.0019419193267822266,0.8008658008658008,0.0023899078369140625,3.790855407714844e-05,0.8008658008658008
80,0.0011992454528808594,0.0006549358367919922,0.007283210754394531,0.0023620128631591797,0.8008658008658008,0.0030493736267089844,3.600120544433594e-05,0.8008658008658008
97,0.0017261505126953125,0.0008311271667480469,0.00853419303894043,0.002791881561279297,0.8008658008658008,0.0035500526428222656,3.600120544433594e-05,0.8008658008658008
115,0.0047359466552734375,0.0008139610290527344,0.010010242462158203,0.0033249855041503906,0.8008658008658008,0.004396915435791016,3.981590270996094e-05,0.8008658008658008
132,0.004396915435791016,0.002147674560546875,0.010853767395019531,0.003634214401245117,0.8008658008658008,0.004940986633300781,4.100799560546875e-05,0.8008658008658008
150,0.0056340694427490234,0.002820730209350586,0.012124061584472656,0.004087924957275391,0.8008658008658008,0.005612850189208984,4.696846008300781e-05,0.8008658008658008
168,0.0063250064849853516,0.0029261112213134766,0.016176223754882812,0.004534006118774414,0.8008658008658008,0.006140947341918945,0.0002129077911376953,0.8008658008658008
185,0.00988912582397461,0.001936197280883789,0.014841079711914062,0.005188941955566406,0.8008658008658008,0.005604267120361328,4.410743713378906e-05,0.8008658008658008
203,0.012162208557128906,0.002490997314453125,0.0161588191986084,0.005923032760620117,0.8008658008658008,0.007522106170654297,4.38690185546875e-05,0.8008658008658008
220,0.010795831680297852,0.0020868778228759766,0.0171358585357666,0.006269931793212891,0.8008658008658008,0.008144140243530273,6.008148193359375e-05,0.8008658008658008
238,0.014014005661010742,0.0021071434020996094,0.018908262252807617,0.007006168365478516,0.8008658008658008,0.008817911148071289,4.8160552978515625e-05,0.8008658008658008
256,0.017125844955444336,0.0019161701202392578,0.0204620361328125,0.0076067447662353516,0.8008658008658008,0.00932002067565918,5.2928924560546875e-05,0.8008658008658008
273,0.0207977294921875,0.004341840744018555,0.022737979888916016,0.00838613510131836,0.8008658008658008,0.010113000869750977,5.412101745605469e-05,0.8008658008658008
291,0.022509098052978516,0.0026009082794189453,0.02422785758972168,0.009064912796020508,0.8008658008658008,0.010741949081420898,5.2928924560546875e-05,0.8008658008658008
308,0.024209976196289062,0.0028378963470458984,0.02518486976623535,0.009526968002319336,0.8008658008658008,0.009170055389404297,5.364418029785156e-05,0.8008658008658008
326,0.028187036514282227,0.002634286880493164,0.027016162872314453,0.010110139846801758,0.8008658008658008,0.011977910995483398,5.2928924560546875e-05,0.8008658008658008
