n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,score-mean,score-std
246,0.0011471748352050782,0.00014553502449496936,0.029556417465209962,0.01818990267757098,0.4651845650700065,5.0498409694640535e-05
290,0.001127338409423828,2.8936001643902525e-05,0.031385278701782225,0.005952589465648139,0.4651653053307612,3.9577603324987724e-05
334,0.0012240409851074219,1.6399836472962547e-05,0.058458375930786136,0.03315149365347512,0.46516995420965657,4.9626566158069295e-05
378,0.001341390609741211,1.747821219809834e-05,0.08094897270202636,0.0616094819858385,0.46517059048582504,5.288918670896027e-05
422,0.0014690876007080079,3.285309398372342e-05,0.055007648468017575,0.025423021139182725,0.4651865563596941,2.8708656854898625e-05
466,0.00158538818359375,4.069547443912985e-05,0.06624722480773926,0.03674355528164812,0.46515214156207607,3.3211887281880006e-05
510,0.0016661643981933593,4.943711428325415e-05,0.07694244384765625,0.032013912953627995,0.4652001789141771,5.189688344521395e-05
554,0.0022065162658691405,0.0008859059090048823,0.04820208549499512,0.009949874728992343,0.4651803215714434,3.9911367739301404e-05
598,0.0028639316558837892,0.001347617382109082,0.06219468116760254,0.01845101080899345,0.465159224982101,2.6600331896345232e-05
642,0.0021853923797607424,0.00017610512006465345,0.08995022773742675,0.07270470008166242,0.46516217963795714,2.4835386676582987e-05
686,0.002125406265258789,8.640833362814485e-05,0.044118642807006836,0.007821575024269892,0.46515852985978584,2.1298483792948e-05
731,0.0022016525268554687,5.052297276457754e-05,0.07078371047973633,0.04697814139703953,0.46688645516566984,2.066433155075272e-05
775,0.0023726463317871095,3.747254471522808e-05,0.05706067085266113,0.0130558299371447,0.4667882060444451,3.089502953660099e-05
819,0.0025417327880859373,0.00021434469393832214,0.07345013618469239,0.024219975368836136,0.46669891120637186,2.7992380144008424e-05
863,0.0025569915771484373,3.967409808236325e-05,0.09394292831420899,0.05974620796008688,0.46662633297632483,2.7484125749403393e-05
907,0.0028423786163330076,0.0001887454952938228,0.0682023048400879,0.02294107262413423,0.4665279830547961,2.018525426323474e-05
951,0.0027384281158447264,4.3617048399877916e-05,0.06694049835205078,0.014440868721028935,0.46649953030161095,3.665820371643297e-05
995,0.002892732620239258,7.454136953353187e-05,0.08406310081481934,0.043278376452118864,0.46640921230994525,2.257350410458466e-05
1039,0.00298309326171875,5.404718336905846e-05,0.05924921035766602,0.001305621232628834,0.46638261101951894,2.8284794677936207e-05
1083,0.003527545928955078,0.0009800064332311574,0.06598362922668458,0.014424788407070396,0.46630965163452115,1.98985246712101e-05
1127,0.0037621021270751952,0.0006409277358757124,0.07562298774719238,0.02241037365230143,0.4662818611030488,2.9749232162514466e-05
1171,0.0034057140350341798,0.00019672939699065016,0.08132877349853515,0.028934750181915873,0.46624191332940806,1.1044427755700428e-05
1215,0.0035363197326660155,0.00013118597492516994,0.08962521553039551,0.01700650774793371,0.46619834523260123,2.2121230710365665e-05
1259,0.004337882995605469,0.0018755100319155296,0.12992620468139648,0.10184567113799446,0.4661673564577712,1.830927512296131e-05
1304,0.003686952590942383,8.954377833107377e-05,0.08426380157470703,0.01380394812757971,0.4651435563951374,1.1737419281002553e-05
1348,0.004631614685058594,0.0019020557547013673,0.06990060806274415,0.009178482825919605,0.46516489482503626,3.621545149074436e-05
1392,0.0050563812255859375,0.002659692091981911,0.08822154998779297,0.021436528215348978,0.46516465318132927,1.919400280896882e-05
1436,0.004549074172973633,0.0010389946364935286,0.08857583999633789,0.017056712288954987,0.4651676531037275,2.5788468414353093e-05
1480,0.008585977554321288,0.009786242074621691,0.08876481056213378,0.02152630572259346,0.46515004175859165,2.9400470054943926e-05
1524,0.004645347595214844,0.0006578727708093237,0.10768742561340332,0.04248053240083239,0.4651735371824408,3.4869408322305656e-05
1568,0.007516241073608399,0.0037044683927676047,0.08836159706115723,0.016697117190558875,0.4651615293133687,2.356885324387665e-05
1612,0.004504203796386719,0.00017406736198191355,0.09122686386108399,0.01857196217650582,0.4651609657427603,3.275101026625028e-05
1656,0.00462489128112793,0.00012153308434580442,0.09225006103515625,0.012350513483867561,0.4651509233514159,3.879562284146115e-05
1700,0.004653358459472656,7.113940578830287e-05,0.10342812538146973,0.01790462743743908,0.46514054591155213,2.7121581874385463e-05
1744,0.005170583724975586,0.0009144308930449485,0.12623538970947265,0.072026051701196,0.4651611245104542,2.158263567983623e-05
1788,0.004920434951782226,6.739899676727996e-05,0.09663667678833007,0.02226384416223139,0.4651543246803313,2.6103642108231495e-05
1833,0.005047512054443359,0.00012132102230494316,0.11669459342956542,0.02346649141876221,0.46586318224094825,7.1605682305445844e-06
1877,0.005351734161376953,0.00023691906250592558,0.09070038795471191,0.01150763309896086,0.4658482175875016,2.667675383528869e-05
1921,0.0053142070770263675,0.00015866676727312507,0.1394038677215576,0.11023886511901472,0.46581813855081455,1.693550941748429e-05
1965,0.005337953567504883,0.0001789246057713725,0.101971435546875,0.009857304372383205,0.4657934331653511,1.7977189901989405e-05
