,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,3,0.16345299999548346,0.009293317794799805,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 6.30957344480193}",0.2565086864243653,0.2565086864243653,0.21069784520557472,0.010866785049438476,0.0005759277531546319
1,2,6,0.5969808221974152,0.010560989379882812,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.42031084274377806,0.42031084274377806,0.20900431117712745,0.010273122787475586,0.002082714733558331
2,4,13,0.6600632479502506,0.012888193130493164,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 6.30957344480193}",0.6807491602030898,0.6807491602030898,0.09209357558878542,0.01096329689025879,0.0022042743044683793
3,5,16,0.6826153780984101,0.015571832656860352,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7521709014688481,0.7521709014688481,0.042168805901122666,0.02600069046020508,0.005215180031140921
4,7,23,0.7564654773656178,0.022240638732910156,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7780579274184471,0.7780579274184471,0.06292529195186067,0.011367034912109376,0.0016169497932237214
5,9,30,0.7562428714338497,0.02389669418334961,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.789923568463515,0.789923568463515,0.032331381158616536,0.012821054458618164,0.0023349684654924894
6,10,33,0.8242279578265116,0.010722160339355469,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.794919690455418,0.794919690455418,0.0385832220390398,0.010687780380249024,0.0017330158774922272
7,12,40,0.7766539197078737,0.02286529541015625,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7983673209300616,0.7983673209300616,0.04445843895318835,0.013319921493530274,0.001325317979018023
8,13,43,0.747572461266764,0.02357339859008789,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7922449723065057,0.7922449723065057,0.038713647219572135,0.01452775001525879,0.0032303776151315863
9,15,50,0.7869145534703161,0.029080867767333984,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.8002579043495459,0.8002579043495459,0.026510605147147724,0.01312570571899414,0.0018784115562681687
10,17,57,0.7688170661458356,0.03301572799682617,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.800595332528428,0.800595332528428,0.043179882387257985,0.018131399154663087,0.0033145143274838965
11,18,60,0.772556389190163,0.018494844436645508,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7964633205396618,0.7964633205396618,0.0404021592588207,0.011313152313232423,0.001986907918067576
12,20,67,0.7760476334636611,0.02209949493408203,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7979375611452326,0.7979375611452326,0.02562206625688016,0.01988248825073242,0.004422421174661147
13,21,70,0.7621653959897887,0.03363537788391113,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.802396358968943,0.802396358968943,0.038972285041800614,0.01667633056640625,0.0009237514306433984
14,23,77,0.7782450987650531,0.032694339752197266,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7991645265840066,0.7991645265840066,0.0378049627006068,0.0247039794921875,0.0016106947124408851
15,25,84,0.7764450380142063,0.024713754653930664,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.8011168591277492,0.8011168591277492,0.03284127064152882,0.014423942565917969,0.0027516291384597855
