percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,20,0.5399924202584399,0.013252435571605584,0.3449742794036865,0.013420863058809993,0.5472066245490802,0.008329849261265563
1.0,41,0.5551863966633417,0.01030160670835938,0.5433728098869324,0.008556689765917287,0.5575443296497298,0.006544208089207792
2.0,83,0.5695148920097955,0.01702777767375732,0.6836292743682861,0.04389797084429513,0.5612483859359525,0.006711251672009922
4.0,167,0.5623704474116762,0.03270261640845764,0.9757333397865295,0.06385856850062868,0.56090732001871,0.013863888893633838
6.0,250,0.5628632982958985,0.008119623984299525,1.4524679780006409,0.05626111743544625,0.55826174974273,0.0015634988440707957
8.0,334,0.5596398478393376,0.02146080826254166,1.8514330387115479,0.029191492846456106,0.5595704040052365,0.005399722956972872
10.0,417,0.5664113027753941,0.024480776742611676,2.2269347310066223,0.06572408064113146,0.5621229713735245,0.007259071712715221
14.0,584,0.5581457409368795,0.0343630005992486,3.0058982968330383,0.18539596269494282,0.5622285073309792,0.010658305188672619
16.0,668,0.5593284967862999,0.041333951459817116,3.4026989340782166,0.02129569686971931,0.56147927223707,0.011759506230225876
18.0,751,0.5609919400804979,0.0195026271282637,3.7731849551200867,0.061935364423882464,0.5613431428571551,0.013190474224984218
20.0,835,0.5600417538413272,0.007041150141879125,4.120876610279083,0.14417917604736247,0.5598083775734954,0.008535614547715802
25.0,1044,0.5573019612746979,0.017835530800075966,5.171873927116394,0.15351568321798248,0.5642795067522726,0.001158815969794237
