n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,score-mean,score-std
246,0.0016905784606933594,0.00011732100800874061,0.04859185218811035,0.03228458539934361,0.44887663709773457,0.07305431115531394
290,0.0018624305725097657,2.8841061027914036e-05,0.04663858413696289,0.018219260762599162,0.4411294116770666,0.03044548339157454
334,0.002084493637084961,4.217819410995775e-05,0.041927766799926755,0.018761495342698636,0.4569601102533113,0.05944110432576118
378,0.002834796905517578,0.0012724671732597303,0.042508840560913086,0.024022607929424983,0.4879868786095344,0.03632000824015231
422,0.00249176025390625,9.109025113101918e-06,0.05872182846069336,0.019189745212285298,0.4563676163300139,0.029954751940744175
466,0.002731657028198242,3.7137702202013584e-05,0.045638227462768556,0.010339377181737842,0.4658930373839909,0.03388763708331075
510,0.00301976203918457,0.00010552027614088332,0.04687113761901855,0.016012046438353373,0.41962776210007047,0.03611377663852235
554,0.0031934261322021486,0.00011007509781680032,0.04515657424926758,0.007816077774302425,0.4513696211055446,0.04462498366907739
598,0.0034563541412353516,0.00011480925312991065,0.05643858909606934,0.027982975810050898,0.4793111108764482,0.03886340411129929
642,0.0036610126495361327,0.0002052583612684363,0.08383669853210449,0.07661914966058368,0.4447423270257973,0.020578854191779926
686,0.004181337356567383,0.0007793436819754521,0.07065906524658203,0.017422876508786624,0.47093397744078763,0.04390035049781073
731,0.0040286540985107425,6.108696236498526e-05,0.06699962615966797,0.016747435911223997,0.46537877342119705,0.05517100512268295
775,0.004259252548217773,4.212647823104425e-05,0.07440180778503418,0.02607511303973864,0.47783484812728644,0.030040398066319203
819,0.004546260833740235,7.72650207535356e-05,0.06835107803344727,0.020911226880207048,0.4763908245479825,0.04506085739268356
863,0.004761838912963867,0.00021528699991634793,0.09695968627929688,0.08413318322841096,0.47296599261894307,0.03344170705634088
907,0.006479024887084961,0.0035035881268249925,0.08343329429626464,0.024366467289684564,0.4930029118421847,0.014036644036006114
951,0.00575413703918457,0.0010896275614087725,0.07613701820373535,0.011129008190842116,0.46162290329192296,0.029849530757685885
995,0.007855367660522462,0.0046116348287328955,0.09668569564819336,0.007979449905270941,0.46178274676157366,0.03337039722235288
1039,0.005611801147460937,0.00013489968869698557,0.07234911918640137,0.012284354659748035,0.430980686382875,0.02901232868443843
1083,0.007191610336303711,0.002994875056479095,0.09222731590270997,0.04361440020671857,0.453656216950414,0.019800742634095137
1127,0.006176376342773437,0.0003268112008753814,0.09800143241882324,0.04294224526805586,0.47897661391526897,0.02545707436014871
1171,0.006528902053833008,0.0007540741588750495,0.11481618881225586,0.08633165032209554,0.4723248210940894,0.023011511612088868
1215,0.006556987762451172,0.0001692698033829526,0.07016024589538575,0.007972580274575067,0.462207635154546,0.020778546561314178
1259,0.007279205322265625,0.0014027487980817254,0.08154606819152832,0.011922656745869476,0.45828410241171313,0.024976794570343994
1304,0.0069999217987060545,0.0002791714805815663,0.13179678916931153,0.06913125875519684,0.4761728238167368,0.013544971895661503
1348,0.008356857299804687,0.0026479722168434743,0.11068110466003418,0.022686754318187338,0.49205192362384265,0.014738680434090356
1392,0.007361459732055664,7.606774563828896e-05,0.09486422538757325,0.01473672541325763,0.4759397229656117,0.028361663924841397
1436,0.008255338668823243,0.0015592284666500953,0.10088834762573243,0.009189785572909042,0.4677210255347129,0.018505673882816803
1480,0.008444118499755859,0.0013012768148011856,0.10005674362182618,0.01766863796544833,0.47119952576466917,0.027799698046119842
1524,0.00889277458190918,0.001874552239244137,0.09234600067138672,0.009814812745206437,0.45245474469824043,0.01903869000160874
1568,0.012752199172973632,0.004382211399241821,0.13640294075012208,0.0395529106066285,0.48128820816358353,0.018692381244902613
1612,0.01077442169189453,0.004755032796513917,0.12171058654785157,0.02884864804143748,0.4812222639905294,0.03274404012616747
1656,0.009082937240600586,0.0008001884752495567,0.11381011009216309,0.02181638515905409,0.4642793015864689,0.014232860764841928
1700,0.010349082946777343,0.0032370251399638605,0.11072421073913574,0.00932611367099734,0.4540315496757484,0.003964973328032791
1744,0.009290552139282227,0.00036759311269211566,0.13826341629028321,0.026586784730792106,0.4546791487654465,0.027454856734344654
1788,0.01116800308227539,0.0042207764443345525,0.12213358879089356,0.026246136795135048,0.4782197638634493,0.034248687170240565
1833,0.009751653671264649,0.00019557232043157827,0.13011837005615234,0.04277334687167897,0.4762437257221377,0.007989617713173783
1877,0.010425138473510741,0.0014184337256809062,0.11988978385925293,0.029160769358888495,0.4785712845294185,0.023239555288281262
1921,0.012584972381591796,0.003546032234239316,0.15804605484008788,0.029353664341890674,0.46300060830810175,0.005792166117068756
1965,0.010627985000610352,0.000572220186179915,0.14273519515991212,0.03499735061619724,0.47175596567765143,0.013812893009525398
