percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,7,0.7330729166666666,0.019617863506926285,0.011942386627197266,0.0018459620112303023,0.750363568215892,0.015530621580631197,0.750363568215892,0.031861488106194186
2,15,0.7591145833333333,0.018913852924913988,0.030157148838043213,0.011979915134843918,0.7794715142428786,0.008589346417010393,0.7794715142428786,0.03307536837631162
4,30,0.7630208333333334,0.04009063624567879,0.019002854824066162,0.0042950583314171,0.7738380809595202,0.016493529276140093,0.7738380809595202,0.03447040832706626
5,38,0.7604166666666666,0.032733867421813875,0.02366858720779419,0.0035060129625035606,0.7799250374812593,0.016269094562736085,0.7799250374812593,0.03697300458014223
7,53,0.7721354166666666,0.03744480167851145,0.020216047763824463,0.007579175468530337,0.7777623688155922,0.014059409243722582,0.7777623688155922,0.034851583628157726
9,69,0.76171875,0.023109686652732876,0.029690027236938477,0.0037300295095623608,0.7786281859070465,0.016550547714205825,0.7786281859070465,0.030944592056860724
10,76,0.7747395833333333,0.038162372108731385,0.040933191776275635,0.0047160397521712055,0.7747376311844077,0.011735822235534845,0.7747376311844077,0.03553840556005199
12,92,0.7747395833333334,0.04440466902338524,0.04203653335571289,0.014257962652927357,0.7764505247376312,0.01607351065738932,0.7764505247376312,0.035065748344983674
13,99,0.7682291666666667,0.036178239555858874,0.050140559673309326,0.022440329626272782,0.7760232383808097,0.01478219957026039,0.7760232383808097,0.03561983042121886
15,115,0.76953125,0.036897466966939456,0.05022549629211426,0.018891733633709877,0.7773200899550226,0.014861233317518366,0.7773200899550226,0.035598852030850385
17,130,0.7578125,0.03710366366868492,0.04905217885971069,0.0031319800647294166,0.7773350824587706,0.015260330313816758,0.7773350824587706,0.033458944327326184
18,138,0.7708333333333333,0.04017512661599352,0.041305482387542725,0.013027009735799561,0.7781896551724139,0.019315350531394933,0.7781896551724139,0.03834051847474733
20,153,0.7669270833333333,0.02837824833034293,0.04006516933441162,0.0073749838417219065,0.7764355322338832,0.016685166026248737,0.7764355322338832,0.03453878933052684
21,161,0.7669270833333334,0.03442527100625596,0.04815411567687988,0.01631667351845708,0.7764505247376312,0.014079447318449572,0.7764505247376312,0.03270336155046667
23,176,0.7630208333333333,0.030702672194144763,0.05925947427749634,0.013308337325622917,0.7760307346326837,0.018581514555765975,0.7760307346326837,0.036462322544350216
25,192,0.7786458333333334,0.041747967556982825,0.03476661443710327,0.0108101190670153,0.7747301349325337,0.01566591998083398,0.7747301349325337,0.03792506281699761
