n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
5,0.002244234085083008,0.00138092041015625,0.23140215873718262,0.6530008316040039,0.7606608788771179,0.002892017364501953,0.0056951045989990234,0.7649825983860481
50,0.0011518001556396484,0.00679779052734375,0.5294227600097656,1.690788984298706,0.7665889012123762,0.016115903854370117,0.018987655639648438,0.7749646230925153
95,0.002279043197631836,0.011609792709350586,0.8922131061553955,3.037482738494873,0.7698015068650323,0.032434940338134766,0.03758120536804199,0.7783302099667266
140,0.005232810974121094,0.0205080509185791,1.1711270809173584,4.115147113800049,0.7707576394997514,0.05655097961425781,0.05444598197937012,0.7800894940146097
184,0.02289605140686035,0.020811080932617188,1.5090649127960205,5.418386936187744,0.7742762075955176,0.0769660472869873,0.0650780200958252,0.7828814013079894
246,0.03350496292114258,0.022828102111816406,2.200047016143799,7.967297792434692,0.7756912838949019,0.10503125190734863,0.08564186096191406,0.7843347229127624
297,0.037613868713378906,0.03808999061584473,2.7832977771759033,9.983301877975464,0.7764561900026772,0.12999391555786133,0.10152602195739746,0.7842964776073736
348,0.06556272506713867,0.035860300064086914,3.431947946548462,11.874996900558472,0.7783302099667266,0.1798231601715088,0.1259598731994629,0.7867824224576433
399,0.04869198799133301,0.039875030517578125,3.7650821208953857,14.105273246765137,0.7786744177152255,0.20661091804504395,0.14424395561218262,0.7867059318468658
451,0.0690622329711914,0.05594897270202637,4.281999826431274,15.964226007461548,0.7788656442421693,0.23766613006591797,0.16440296173095703,0.786667686541477
502,0.07781624794006348,0.06207418441772461,4.757530212402344,17.72317624092102,0.7802424752361647,0.24201011657714844,0.18821382522583008,0.7883887252839714
553,0.11496090888977051,0.07754993438720703,5.381692886352539,19.833051919937134,0.782307721727158,0.28782105445861816,0.22771286964416504,0.7909894060504074
604,0.12201905250549316,0.0684061050415039,5.934717893600464,21.475768089294434,0.7862852334875894,0.31601881980895996,0.2358379364013672,0.7933988602898994
655,0.13921523094177246,0.08765602111816406,6.6332550048828125,23.63250994682312,0.7873943473438635,0.3351919651031494,0.2577049732208252,0.7944697288407848
706,0.1694810390472412,0.08226680755615234,7.202894926071167,25.440167903900146,0.7871266302061422,0.3512890338897705,0.27849698066711426,0.795081653727005
757,0.23761796951293945,0.09925508499145508,7.906083106994629,27.384211778640747,0.7873943473438635,0.38901185989379883,0.30666279792785645,0.795884805140169
809,0.25818490982055664,0.11339282989501953,8.512571096420288,29.422186136245728,0.7877003097869737,0.42261219024658203,0.3314182758331299,0.7963437488048342
860,0.3013303279876709,0.10912895202636719,9.040930032730103,31.322871923446655,0.7882739893678051,0.4393119812011719,0.34085607528686523,0.7968026924694994
911,0.29222702980041504,0.11238908767700195,9.674829006195068,33.383270025253296,0.7889624048648028,0.4744281768798828,0.3588829040527344,0.7969939189964432
962,0.3506789207458496,0.11830401420593262,10.318567037582397,35.30137491226196,0.7896508203618006,0.4900941848754883,0.3775060176849365,0.7964202394156117
5,0.0005629062652587891,0.0018239021301269531,0.2004392147064209,0.649543046951294,0.760163689907064,0.002379894256591797,0.005877017974853516,0.7597047462423987
50,0.001024007797241211,0.0056879520416259766,0.5125267505645752,1.6947648525238037,0.7602784258232302,0.016995906829833984,0.029597997665405273,0.7646383906375492
95,0.002099752426147461,0.009505033493041992,0.8835430145263672,3.0888702869415283,0.7606608788771179,0.02971506118774414,0.033544063568115234,0.7700692240027537
140,0.00650477409362793,0.01421499252319336,1.1815259456634521,4.141386032104492,0.7617317474280032,0.0511469841003418,0.053375959396362305,0.77760354916434
184,0.008927106857299805,0.01524496078491211,1.508612871170044,5.458095073699951,0.7669331089608751,0.06697869300842285,0.06898999214172363,0.7826901747810456
246,0.0156862735748291,0.02974104881286621,2.168022871017456,7.975085020065308,0.7721727157991357,0.09349226951599121,0.09261798858642578,0.7835315714995984
