n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
5,0.0004724860191345215,0.0001939845778308071,0.0004724860191345215,0.00012405380560820772,0.0022364258766174316,0.00023103694245692614,0.003901839256286621,0.00041910010114157157,0.7601254446016752,0.0
50,0.0005504488945007324,0.00022061225326626093,0.0005504488945007324,0.0001402273386858772,0.00887078046798706,0.00015517434039929347,0.025303542613983154,0.0036393086988811088,0.7602593031705358,0.00022191067408022954
95,0.0005312561988830566,1.1230797367086686e-05,0.0005312561988830566,0.0011664131586356272,0.017352938652038574,0.0005889706072598922,0.037195026874542236,0.00641136186933688,0.7611006998890886,0.00129827649847205
140,0.0006154775619506836,7.153881798087951e-06,0.0006154775619506836,0.005687227573905984,0.030557215213775635,0.0032286509905682607,0.05110359191894531,0.0036203025074039766,0.7620950778291964,0.0023126026767954803
184,0.0007207393646240234,8.27739497266868e-06,0.0007207393646240234,0.0004954112567227247,0.04567456245422363,0.001969780739272325,0.06587046384811401,0.004200399439739461,0.7628599839369717,0.00110867416790949
246,0.0008544921875,7.602026649200515e-06,0.0008544921875,0.00028500003542331867,0.06395196914672852,0.004932523548265434,0.0834696888923645,0.005566577686332648,0.7636631353501357,0.002215698563757623
297,0.0010164976119995117,0.00010434647264057945,0.0010164976119995117,0.002066713255515943,0.08810043334960938,0.003360199609488888,0.09882068634033203,0.007330792349928743,0.7640838337094121,0.0023413083343477347
348,0.001056373119354248,6.190854154872287e-06,0.001056373119354248,0.0006905540341687758,0.10919749736785889,0.006703833806767291,0.11559617519378662,0.00966245838165417,0.7659004857153784,0.0014059160145459453
399,0.001180887222290039,3.555182648157974e-05,0.001180887222290039,0.0009530635407752801,0.12182754278182983,0.001120065572950028,0.13308656215667725,0.010218662622377197,0.7659578536734616,0.0023214406810172033
451,0.001270592212677002,1.4474154799610197e-05,0.001270592212677002,0.001092784448338855,0.13716620206832886,0.0022011901316582824,0.14861297607421875,0.00977199325344317,0.7645427773740774,0.0021018686420230547
502,0.0013914108276367188,6.0004166907441966e-05,0.0013914108276367188,0.002394218431254901,0.16900354623794556,0.02292338825727299,0.16815185546875,0.014186693213733238,0.7608521054040617,0.0015456656153008974
553,0.0014786720275878906,9.180405348583e-06,0.0014786720275878906,0.0007258053784469796,0.20401495695114136,0.00508730541306976,0.18059682846069336,0.010874839564493557,0.7635005928022335,0.0015435743976378738
604,0.001582026481628418,2.4876782371070758e-05,0.001582026481628418,0.0023274743505091126,0.21854424476623535,0.01846451387918798,0.19718211889266968,0.014365886894540091,0.7644184801315639,0.0033865816606408468
655,0.001677870750427246,2.1091174651934315e-05,0.001677870750427246,0.001109787964669722,0.24198752641677856,0.0038715340551415183,0.21437925100326538,0.015209467156376376,0.7635675220866639,0.0012408622388693602
706,0.0017864704132080078,1.2867242569223867e-05,0.0017864704132080078,0.001003837439353841,0.2600798010826111,0.00506507290583441,0.2317601442337036,0.020034264485823808,0.7631277010746931,0.003815148932475426
757,0.0018714070320129395,2.106229454842138e-05,0.0018714070320129395,0.00042765767313048767,0.2924230098724365,0.0171909227886219,0.24873942136764526,0.019293966287235006,0.758566948407083,0.0035989049134214305
809,0.0019797682762145996,1.0140266651702488e-05,0.0019797682762145996,0.0026383479922678643,0.3254045844078064,0.0247059507972584,0.2625185251235962,0.022645769373749236,0.7614544689639346,0.003344278061413097
860,0.0020839571952819824,8.248444424545482e-06,0.0020839571952819824,0.0012830277287663038,0.3529239296913147,0.025781797706469208,0.2850479483604431,0.01760853984866805,0.759312731862164,0.0017022025473807443
911,0.00224226713180542,0.0001028711704460788,0.00224226713180542,0.002051134766718378,0.3762422204017639,0.020494286714433808,0.29657793045043945,0.027427098566259342,0.758165372700501,0.0033452984472504077
962,0.0022909045219421387,1.7227151619484508e-05,0.0022909045219421387,0.00046451588045874127,0.4186769723892212,0.013881425024240562,0.3069016933441162,0.02092432630079325,0.7581940566795426,0.0041569087329512994
