n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
5,0.0004724860191345215,0.0001939845778308071,0.0004724860191345215,0.00012405380560820772,0.19329994916915894,0.001618998682529454,0.6733251214027405,0.0007806046959610197,0.7601254446016752,0.0
50,0.0005504488945007324,0.00022061225326626093,0.0005504488945007324,0.0001402273386858772,0.4991755485534668,0.0024954456027642927,1.7929957509040833,0.008194959868729406,0.7601254446016752,0.0
95,0.0005312561988830566,1.1230797367086686e-05,0.0005312561988830566,0.0011664131586356272,0.8896907567977905,0.002623544239201778,3.2786388397216797,0.03312694598424107,0.7601254446016752,0.0
140,0.0006154775619506836,7.153881798087951e-06,0.0006154775619506836,0.005687227573905984,1.1987358927726746,0.010930417418457707,4.500460505485535,0.03351989382751792,0.7601254446016752,0.0
184,0.0007207393646240234,8.27739497266868e-06,0.0007207393646240234,0.0004954112567227247,1.5263208150863647,0.0153260703790725,5.905011057853699,0.038548571121605715,0.7601254446016752,0.0
246,0.0008544921875,7.602026649200515e-06,0.0008544921875,0.00028500003542331867,2.205576241016388,0.0240219773089841,8.507285594940186,0.08618416469493216,0.7601254446016752,0.0
297,0.0010164976119995117,0.00010434647264057945,0.0010164976119995117,0.002066713255515943,2.8083693981170654,0.04751747419563521,10.540428042411804,0.11989397926160034,0.7607660534669369,0.0012812177305235317
348,0.001056373119354248,6.190854154872287e-06,0.001056373119354248,0.0006905540341687758,3.256601870059967,0.047837966818125605,12.387227773666382,0.13598860555956177,0.7660343442842391,0.0015795203087603878
399,0.001180887222290039,3.555182648157974e-05,0.001180887222290039,0.0009530635407752801,3.870116949081421,0.048952283488649474,14.684209704399109,0.09460624868933157,0.7700118560446705,0.0018507197946173509
451,0.001270592212677002,1.4474154799610197e-05,0.001270592212677002,0.001092784448338855,4.406872987747192,0.02075399766538534,16.80112338066101,0.0922070772205206,0.7698301908440739,0.0029763227934893723
502,0.0013914108276367188,6.0004166907441966e-05,0.0013914108276367188,0.002394218431254901,4.9308100938797,0.08432160769367827,18.516133785247803,0.16018553725257256,0.772239645083566,0.0003510452394287533
553,0.0014786720275878906,9.180405348583e-06,0.0014786720275878906,0.0007258053784469796,5.517927467823029,0.07569629483372661,20.63048928976059,0.1518033606427312,0.7747351512601828,0.0014364494099772822
604,0.001582026481628418,2.4876782371070758e-05,0.001582026481628418,0.0023274743505091126,6.121693432331085,0.09847961590644444,22.349711775779724,0.049580606969008414,0.7771446054996749,0.0007249814361424581
655,0.001677870750427246,2.1091174651934315e-05,0.001677870750427246,0.001109787964669722,6.771943747997284,0.016758640681065733,24.653752982616425,0.163439993886492,0.7773645160056604,0.0016857967800737307
706,0.0017864704132080078,1.2867242569223867e-05,0.0017864704132080078,0.001003837439353841,7.406856596469879,0.11298050433465738,26.518581867218018,0.24916977786983366,0.7756530385895131,0.001880642651645573
757,0.0018714070320129395,2.106229454842138e-05,0.0018714070320129395,0.00042765767313048767,8.099866390228271,0.07315869638372119,28.77653133869171,0.5203787562392371,0.7756721612422075,0.002280545037201426
809,0.0019797682762145996,1.0140266651702488e-05,0.0019797682762145996,0.0026383479922678643,8.674720287322998,0.12851206937898052,30.570784151554108,0.3250723497452445,0.7779190729337974,0.0023813397760302922
860,0.0020839571952819824,8.248444424545482e-06,0.0020839571952819824,0.0012830277287663038,9.279714822769165,0.1195025516707924,129.80987495183945,194.43744334897318,0.7774410066164379,0.0006634393918961647
911,0.00224226713180542,0.0001028711704460788,0.00224226713180542,0.002051134766718378,9.901408791542053,0.0667775102460601,34.57347148656845,0.2359743947587956,0.7777852143649366,0.0005312060440331678
962,0.0022909045219421387,1.7227151619484508e-05,0.0022909045219421387,0.00046451588045874127,10.483131647109985,0.030287124327779046,36.51604962348938,0.19577879759149303,0.777699162427812,0.0027805327765570787
