percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,2,0.774,0.03934463114581199,0.001582324504852295,3.766989971944201e-05,0.774,0.013114877048604014
1.0,5,0.774,0.02068816086557722,0.001849532127380371,0.00036923466297835214,0.7746666666666667,0.00718021974284606
2.0,10,0.774,0.019899748742132416,0.02322244644165039,0.005976467124986025,0.7766666666666666,0.0034641016151378376
4.0,20,0.786,0.018220867158288568,0.027669429779052734,0.007365716885464993,0.7886666666666666,0.006359594676112937
6.0,30,0.802,0.03682390527904392,0.03181427717208862,0.01042228658755161,0.8006666666666667,0.0076303487615064424
8.0,40,0.802,0.035496478698597685,0.022623121738433838,0.010916556936887993,0.7966666666666667,0.01477234653744017
10.0,50,0.794,0.04171330722922842,0.027926862239837646,0.0059237397168378355,0.8139999999999998,0.022020192753218294
14.0,70,0.782,0.011832159566199242,0.0326085090637207,0.0027507909196839322,0.816,0.01146976702272353
16.0,80,0.8180000000000001,0.019078784028338878,0.028755366802215576,0.008760867930006416,0.8173333333333334,0.005497474167490235
18.0,90,0.796,0.021540659228538008,0.03383392095565796,0.012292796018724423,0.8193333333333332,0.009498537899183245
20.0,100,0.806,0.01637070554374487,0.030965983867645264,0.005361202668135937,0.8226666666666667,0.0165998661306516
25.0,125,0.8,0.027129319932501055,0.03971147537231445,0.004583951390101728,0.8186666666666667,0.005656854249492464
