percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,2,0.774,0.022891046284519215,0.0021062493324279785,0.0011955107493501296,0.7766666666666666,0.00689605362185914
1.0,5,0.764,0.040199502484483556,0.0014963150024414062,0.00010697132528755057,0.7826666666666666,0.0071802197428460345
2.0,10,0.784,0.052153619241621194,0.04389828443527222,0.023835120207144414,0.7893333333333332,0.015888500383750587
4.0,20,0.78,0.04979959839195495,0.02711176872253418,0.011954527058286564,0.8053333333333332,0.010498677165349033
6.0,30,0.794,0.02792848008753786,0.03448963165283203,0.012188104812060724,0.804,0.011392004993756791
8.0,40,0.806,0.03168595903550969,0.030506491661071777,0.010699862544358745,0.8220000000000001,0.014772346537440249
10.0,50,0.8180000000000001,0.01989974874213238,0.03527975082397461,0.026227964340670495,0.8260000000000001,0.006633249580710806
14.0,70,0.8220000000000001,0.019899748742132375,0.10150980949401855,0.025455919628524167,0.8200000000000001,0.004000000000000041
16.0,80,0.8260000000000001,0.029597297173897464,0.1282159686088562,0.011240240432908588,0.8340000000000001,0.012978614889287834
18.0,90,0.818,0.04171330722922841,0.17899781465530396,0.01203975880182529,0.8273333333333335,0.016261747890200625
20.0,100,0.806,0.021447610589527193,0.17006254196166992,0.02428911266051825,0.8300000000000001,0.007149203529842384
25.0,125,0.842,0.026153393661244063,0.21965420246124268,0.034399496809147105,0.8346666666666667,0.008219218670625325
