percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,2,0.774,0.020688160865577218,0.002052783966064453,0.00047708344059858523,0.7813333333333333,0.007302967433402242
1.0,5,0.778,0.01732050807568879,0.0017718672752380371,5.877063312897279e-05,0.7866666666666666,0.009614803401237325
2.0,10,0.8099999999999999,0.019078784028338878,0.0238572359085083,0.00479190356138758,0.8059999999999999,0.007149203529842421
4.0,20,0.772,0.05011985634456668,0.022317051887512207,0.009891062701186537,0.8186666666666667,0.014236104336041663
6.0,30,0.8160000000000001,0.053366656256505336,0.04143548011779785,0.03300092324575843,0.8140000000000001,0.015011106998930258
8.0,40,0.8180000000000001,0.01311487704860397,0.05998504161834717,0.01308785330898813,0.8406666666666666,0.005120763831912405
10.0,50,0.8340000000000001,0.026758176320519286,0.20345503091812134,0.027219071754631858,0.8280000000000001,0.005497474167490154
14.0,70,0.816,0.029933259094191516,0.4135318398475647,0.08575604621450056,0.8326666666666667,0.006896053621859107
16.0,80,0.8380000000000001,0.019899748742132375,0.6014211177825928,0.08512039455058125,0.8326666666666667,0.011832159566199232
18.0,90,0.816,0.009797958971132677,0.7054135203361511,0.05682714862599125,0.8393333333333333,0.00394405318873307
20.0,100,0.798,0.03594440151122284,0.6106268763542175,0.09908705107579793,0.8233333333333335,0.0039440531887330885
25.0,125,0.822,0.019899748742132375,0.5759010910987854,0.07386834261330877,0.8226666666666667,0.011699952516522786
