percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,7,0.7526041666666667,0.032630114807660586,0.004263162612915039,0.0008812832291530002,0.7656409295352324,0.013644856211808637,0.7656409295352324,0.03503570183423454,0.0029364109039306642,0.00017558280359130003
2,15,0.7734374999999999,0.036920434580098485,0.004708528518676758,0.0012027889456122749,0.7742728635682159,0.014419250439536258,0.7742728635682159,0.03610786289056671,0.003401339054107666,0.00012821269450608757
4,30,0.7734375,0.04191009619643512,0.032353758811950684,0.009523836080785069,0.7742766116941528,0.016392238850035375,0.7742766116941528,0.03540993967709437,0.007456517219543457,0.005681458798550554
5,38,0.7760416666666666,0.036271844471833625,0.02675318717956543,0.0017212682528479262,0.7751424287856072,0.016594199324068953,0.7751424287856072,0.0369469281899735,0.011775815486907959,0.00886081622502704
7,53,0.7747395833333333,0.038162372108731364,0.1178199052810669,0.028083752127484724,0.77428035982009,0.015399448981548257,0.77428035982009,0.03601795704817727,0.013592123985290527,0.005332543844159171
9,69,0.7734374999999999,0.036920434580098485,0.16562825441360474,0.041521654801192694,0.7751499250374814,0.01658754550250084,0.7751499250374814,0.036039454388121527,0.028070414066314695,0.018188988327832476
10,76,0.7734374999999999,0.036920434580098485,0.16284555196762085,0.030947876058433202,0.7742728635682159,0.015389288420663155,0.7742728635682159,0.03653509045965604,0.017831599712371828,0.00901698159468474
12,92,0.7747395833333333,0.03197403426512677,0.19014817476272583,0.020763617626041262,0.7747263868065968,0.01502029798085673,0.7747263868065968,0.034322275160335314,0.024322009086608885,0.01095023393360045
13,99,0.7734374999999999,0.036920434580098485,0.27914297580718994,0.005473984612054464,0.77428035982009,0.015382537165394514,0.77428035982009,0.036177819518079295,0.02131978273391724,0.008977089828579523
15,115,0.7734374999999999,0.036920434580098485,0.3113747239112854,0.08849995639347906,0.7738380809595202,0.01480752831466099,0.7738380809595202,0.03616857201933899,0.027335822582244873,0.017483452129581706
17,130,0.7734375,0.03385416666666666,0.34517741203308105,0.01730926781956859,0.77428035982009,0.015382537165394514,0.77428035982009,0.036177819518079295,0.03045598268508911,0.010334374340947274
18,138,0.7734375,0.03385416666666666,0.3533685803413391,0.060597109530975184,0.7751611694152925,0.015619078496681909,0.7751611694152925,0.0343162384208008,0.034632408618926996,0.013523693523303203
20,153,0.7747395833333333,0.03197403426512677,0.2896454334259033,0.01378079496615608,0.7742878560719642,0.015392698532034914,0.7742878560719642,0.03528906703158493,0.037433815002441403,0.01677703185742967
21,161,0.7734375,0.03385416666666666,0.3756796717643738,0.04428971183186931,0.7738568215892054,0.014815584219879423,0.7738568215892054,0.034979188997596486,0.04219818115234375,0.012169828386103176
23,176,0.77734375,0.028378248330342918,0.37252020835876465,0.02686742100086294,0.7742953523238381,0.015402864139965338,0.7742953523238381,0.034414080318452916,0.049082398414611816,0.0173972366106097
25,192,0.7734375,0.03385416666666666,0.3836650252342224,0.04201509450093087,0.77428035982009,0.015382537165394514,0.77428035982009,0.036177819518079295,0.046881246566772464,0.015172354813156857
