percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,3,0.7200520833333333,0.027652032007285533,0.001833796501159668,0.0011257156403993239,0.7282983508245877,0.008908282181161993
1.0,7,0.7473958333333334,0.02980604984963438,0.0011979937553405762,6.371566464194918e-06,0.7704197901049475,0.006992592789658898
2.0,15,0.76953125,0.032395456522460196,0.0012714266777038574,6.541049673698743e-06,0.7820877061469266,0.013705151004846464
4.0,30,0.7669270833333334,0.023973896666044225,0.002066373825073242,0.000715063486488111,0.7734482758620689,0.014655093808383628
6.0,46,0.7669270833333334,0.015786921423153855,0.0030335187911987305,0.0013497730953523533,0.7747413793103447,0.006818774441107417
8.0,61,0.7682291666666667,0.01859746986599698,0.0025562644004821777,0.00013049376256351383,0.7761281859070466,0.008807591136766752
10.0,76,0.7578125000000001,0.021631832976349165,0.004485666751861572,0.0021149452222438366,0.7813005997001499,0.010697649805738053
14.0,107,0.7682291666666666,0.018958619503334675,0.004922032356262207,0.00022034478816387697,0.7773088455772114,0.009871744048374148
16.0,122,0.7669270833333334,0.03798425037972609,0.0073893070220947266,0.00039437809474405464,0.7761206896551724,0.009130104738460616
18.0,138,0.7682291666666666,0.02617155109666896,0.023985326290130615,0.016575443889010406,0.7777098950524739,0.008228968455200367
20.0,153,0.7734375,0.017469281074217108,0.009357333183288574,0.000815537863772607,0.7770164917541229,0.00657108800030047
25.0,192,0.7539062499999999,0.030675049451535784,0.02279883623123169,0.016737209328892385,0.7739130434782608,0.010905049869547347
