percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,64,0.8327915248403258,0.0,1.2425434589385986,0.0,0.8291246505666929,0.0,0.8291246505666929,0.004303667027654954
2,128,0.8420086434390178,0.0,1.546842098236084,0.0,0.8373864151760146,0.0,0.8373864151760146,0.00817974263429223
4,256,0.8436531915707347,0.0,2.167245626449585,0.0,0.839568921805976,0.0,0.839568921805976,0.008472960895072008
5,320,0.8435002103491797,0.0,5.2377235889434814,0.0,0.8417514284359371,0.0,0.8417514284359371,0.008528578848263618
7,448,0.8442268711515661,0.0,6.683986663818359,0.0,0.8420633193215492,0.0,0.8420633193215492,0.0077131070617489006
9,577,0.8438444180976785,0.0,9.232572317123413,0.0,0.8428423777636999,0.0,0.8428423777636999,0.008961741879104255
10,641,0.842964776073737,0.0,9.968807935714722,0.0,0.8405048376525863,0.0,0.8405048376525863,0.008054847104791773
12,769,0.8439973993192336,0.0,12.34386682510376,0.0,0.8412841392845113,0.0,0.8412841392845113,0.009160453639533437
13,833,0.8438061727922898,0.0,13.544503211975098,0.0,0.8408158773739881,0.0,0.8408158773739881,0.007090149366699458
15,962,0.8444563429838987,0.0,15.545433759689331,0.0,0.8408166069433113,0.0,0.8408166069433113,0.008649315908277111
17,1090,0.8434237197384021,0.0,17.479843616485596,0.0,0.8425314596371851,0.0,0.8425314596371851,0.007850971557783953
18,1154,0.8439591540138448,0.0,18.370495796203613,0.0,0.842219447156686,0.0,0.842219447156686,0.009527078689049322
20,1282,0.8433089838222358,0.0,20.223294734954834,0.0,0.8425313380422981,0.0,0.8425313380422981,0.00903348171994412
21,1346,0.8432707385168471,0.0,21.645170211791992,0.0,0.8419076778659612,0.0,0.8419076778659612,0.008103816051030121
23,1475,0.8415496997743527,0.0,20.09768533706665,0.0,0.8408164853484241,0.0,0.8408164853484241,0.011444811017941599
25,1603,0.8405935671396336,0.0,25.966375589370728,0.0,0.8422202983208962,0.0,0.8422202983208962,0.009293004422960433
