n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
27,0.00014090538024902344,0.6311611737151394,0.0001049041748046875
32,0.0001461505889892578,0.5791988527524315,0.00013589859008789062
36,0.00015401840209960938,0.575715845222272,0.0001552104949951172
41,0.0001647472381591797,0.6143879433677187,0.00016617774963378906
46,0.00021004676818847656,0.5769814968763562,0.0002110004425048828
51,0.0002319812774658203,0.6070116342079145,0.0002040863037109375
56,0.00015783309936523438,0.5743437855695899,0.00020503997802734375
61,0.0001430511474609375,0.6012232599897633,0.00022101402282714844
65,0.0001480579376220703,0.6014074410255864,0.0002613067626953125
70,0.00014591217041015625,0.5767347884627703,0.000244140625
75,0.00014591217041015625,0.5978041112768325,0.00024175643920898438
80,0.0001430511474609375,0.5796585911647354,0.00025773048400878906
85,0.00013899803161621094,0.5933763602154705,0.000263214111328125
90,0.00019478797912597656,0.5729458134456963,0.00033402442932128906
94,0.00014591217041015625,0.5749123432788807,0.0003218650817871094
99,0.00014495849609375,0.589920486105775,0.0003478527069091797
104,0.00015592575073242188,0.573243806678726,0.00034809112548828125
109,0.00015878677368164062,0.5855787875504365,0.00039196014404296875
114,0.00018525123596191406,0.5738030513632515,0.00039196014404296875
118,0.00014400482177734375,0.5749676255213424,0.0004050731658935547
123,0.00015783309936523438,0.5854970230108905,0.00045800209045410156
128,0.00014090538024902344,0.5745581842637708,0.0005829334259033203
133,0.00015783309936523438,0.5870003775242117,0.0004858970642089844
138,0.00015306472778320312,0.5744228022740674,0.0005016326904296875
143,0.00016069412231445312,0.5876228750695222,0.0005381107330322266
147,0.00015616416931152344,0.5852996235435233,0.0005340576171875
152,0.0001518726348876953,0.5745830997503999,0.0005769729614257812
157,0.0001590251922607422,0.5827596346832232,0.0005571842193603516
162,0.00015592575073242188,0.576859697783022,0.0005660057067871094
167,0.0002300739288330078,0.583997072249419,0.0009670257568359375
171,0.0001850128173828125,0.5818844934158731,0.0006461143493652344
176,0.00020623207092285156,0.5764495740439256,0.005365848541259766
181,0.00021600723266601562,0.5815570912472156,0.005024909973144531
186,0.00024175643920898438,0.5746257313410553,0.0007867813110351562
191,0.00022101402282714844,0.5844187206736674,0.000804901123046875
196,0.00023698806762695312,0.5759578289166658,0.0032050609588623047
200,0.00016188621520996094,0.5757362430247661,0.0007238388061523438
205,0.0001919269561767578,0.5814183076655228,0.0009338855743408203
210,0.0001780986785888672,0.5755603582519156,0.0008299350738525391
215,0.00023818016052246094,0.58236491180133,0.0010030269622802734
27,0.00012683868408203125,0.633093354758898,0.00012183189392089844
32,0.00015997886657714844,0.5770936952647663,0.00015687942504882812
36,0.0001533031463623047,0.578279339501034,0.00014495849609375
41,0.00013685226440429688,0.6141905869031998,0.0001621246337890625
46,0.00018215179443359375,0.5751458022031655,0.00018405914306640625
51,0.0002040863037109375,0.6016506873698669,0.00025200843811035156
56,0.00015497207641601562,0.5765625751675093,0.0002040863037109375
61,0.0001709461212158203,0.5982493095721187,0.00021600723266601562
65,0.0001518726348876953,0.5967573085828638,0.00023603439331054688
70,0.00014710426330566406,0.5766192256367225,0.00024318695068359375
75,0.0001468658447265625,0.598376510171188,0.0002560615539550781
80,0.0001800060272216797,0.5768076192985189,0.0003249645233154297
85,0.00015306472778320312,0.594313225383235,0.00029969215393066406
90,0.00015878677368164062,0.5762513238572582,0.0003247261047363281
94,0.0001430511474609375,0.5774375156578316,0.0003249645233154297
99,0.0001461505889892578,0.5922897198926391,0.0003581047058105469
104,0.00014901161193847656,0.57846008198511,0.00035309791564941406
109,0.00014495849609375,0.5901014814937592,0.00037097930908203125
114,0.00015687942504882812,0.5740749688128155,0.0003790855407714844
118,0.0001461505889892578,0.5746575319826319,0.00039196014404296875
123,0.00015687942504882812,0.5883701213659634,0.0004980564117431641
128,0.000141143798828125,0.5742599717721266,0.00047516822814941406
133,0.00015878677368164062,0.5866859418549655,0.0010797977447509766
138,0.0001399517059326172,0.5760594374125391,0.0005118846893310547
143,0.0001468658447265625,0.5870282624345368,0.0009832382202148438
147,0.000141143798828125,0.5866821836979614,0.0005121231079101562
152,0.00016117095947265625,0.5767062235203082,0.0005359649658203125
157,0.00017118453979492188,0.5852975457350648,0.0009620189666748047
162,0.00014400482177734375,0.5745506013458247,0.0005509853363037109
167,0.00020313262939453125,0.5846571865656145,0.0016307830810546875
171,0.00014400482177734375,0.583491059077355,0.0005741119384765625
176,0.0002219676971435547,0.5771888441879421,0.0006458759307861328
181,0.00014591217041015625,0.5846092467303451,0.0007979869842529297
186,0.00014781951904296875,0.5759826197595125,0.0006780624389648438
191,0.00013899803161621094,0.5838298379588355,0.0006711483001708984
196,0.00016999244689941406,0.5761380686614034,0.001033782958984375
200,0.00014901161193847656,0.5757171150505884,0.0007431507110595703
205,0.00016498565673828125,0.5824004171049193,0.0007030963897705078
210,0.00013899803161621094,0.5757353123384267,0.001180887222290039
215,0.00017189979553222656,0.581554324569772,0.0007412433624267578
27,0.00013899803161621094,0.6300923207448073,0.00011587142944335938
32,0.0001537799835205078,0.5746259548808034,0.00014209747314453125
36,0.00014209747314453125,0.5735063052529535,0.00013494491577148438
41,0.00015997886657714844,0.6084907658815949,0.00015497207641601562
