n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,score-mean,score-std
27,0.0001533985137939453,1.4958367212426585e-05,0.00012998580932617189,6.477793745022181e-06,0.6838607141501976,0.22002741922770683
32,0.00020465850830078124,5.3955235935483127e-05,0.00016417503356933594,1.8133609939171026e-05,0.7170643293855384,0.2904627567932534
36,0.0001423358917236328,3.5683225505580343e-06,0.00014982223510742187,5.605625919222104e-06,0.5479600769595264,0.1537911122549684
41,0.00014901161193847656,1.4578667398653456e-05,0.0001689434051513672,8.836938883514928e-06,0.5807299825465548,0.19264680284758037
46,0.00017800331115722657,5.449197322328415e-05,0.00019235610961914061,2.5755497375899598e-05,0.6253126459261575,0.13643925156857278
51,0.00015869140625,3.014067271229462e-05,0.00020227432250976562,2.3119596029641952e-05,0.5503731753205189,0.09501494429336037
56,0.00016942024230957032,3.26531631024903e-05,0.0002295970916748047,2.3130903139033618e-05,0.686224348185147,0.24335702993859679
61,0.00017151832580566406,3.569461364648466e-05,0.0002495765686035156,1.778049613138385e-05,0.5819901778027263,0.09544793429143902
65,0.00018949508666992186,5.807912799803739e-05,0.0004714012145996094,0.00017096402661070324,0.6250414927413688,0.15379367192162863
70,0.00015234947204589844,6.951036327892901e-06,0.0004154682159423828,0.00016633874956014725,0.6527009825744432,0.043125795415847434
75,0.00015835762023925782,1.8471978518712398e-05,0.00037822723388671877,5.291001953120185e-05,0.6552976122409631,0.05431339538476303
80,0.0001511096954345703,5.640501886924094e-06,0.0003582000732421875,1.0922589780132904e-05,0.5710941423241993,0.14852003859869561
85,0.00015859603881835939,8.473759891864568e-06,0.0005045413970947265,0.00023248503602466282,0.5713870895897913,0.1317334584729918
90,0.00015273094177246094,1.2924838078217558e-05,0.0007950305938720703,0.0007616636404855503,0.5349986411202386,0.028437900181849798
94,0.00015649795532226562,1.0146944593451843e-05,0.0005730152130126953,0.00035126940786871577,0.5408253706347603,0.1151271577055097
99,0.00017323493957519532,4.1802399359675006e-05,0.0024843215942382812,0.004504165204012257,0.5551107667847608,0.07468841314860586
104,0.00019659996032714844,6.380238873196443e-05,0.003380489349365234,0.006340598844181587,0.5459469453451282,0.040098353227980464
109,0.0001697540283203125,2.75886458266117e-05,0.0006508350372314454,0.0002935829014114622,0.6016120243448454,0.10025320686469463
114,0.00017681121826171876,5.3736448410141926e-05,0.0012041568756103516,0.001113688319947795,0.6139615309020081,0.05807635652888956
118,0.0001750469207763672,4.070343541767553e-05,0.0007844448089599609,0.0005355504737204361,0.6414929503522422,0.09846682827855816
123,0.0001552581787109375,5.125722212280475e-06,0.0005927562713623046,0.00011014156499584898,0.6356864743597334,0.09789554824622461
128,0.00014886856079101562,3.1295560499401873e-06,0.0008452415466308593,0.0006009809655980026,0.5993084985743697,0.09836414019477938
133,0.00016655921936035157,2.9363065381478206e-05,0.0008267879486083985,0.0002862581881346791,0.565666627829182,0.07042982405947341
138,0.00016798973083496094,2.168338005070707e-05,0.0009374618530273438,0.0005048482589672626,0.5515880445327888,0.03990213643550669
143,0.00018749237060546874,4.49700672017198e-05,0.0006358623504638672,7.795503705253326e-05,0.5562553592683587,0.0998603005731525
147,0.0001838207244873047,4.0477478720079635e-05,0.0010222434997558595,0.000673769609520242,0.5767508441943751,0.11626328584060892
152,0.0001712322235107422,2.976386449908739e-05,0.0008644580841064454,0.0003113428248532066,0.6282763936378141,0.11725022722093187
157,0.00021176338195800782,5.758373852747594e-05,0.0007364273071289063,0.00013160558713563568,0.6417974078472419,0.06725715649750096
162,0.0001663684844970703,1.638284379572354e-05,0.0006743431091308594,1.6881146636851675e-05,0.6648705665778698,0.04552021660029467
167,0.00019197463989257814,4.6477071000799284e-05,0.001277589797973633,0.0009636704162765771,0.6259272161488085,0.04879863761218492
171,0.00016465187072753907,7.185462918370111e-06,0.0007212162017822266,1.2758178941679874e-05,0.6210563139625819,0.03971236769402334
176,0.0001918315887451172,6.0049447723354424e-05,0.0009479045867919922,0.000505308208556935,0.6148351074144139,0.055198465859498856
181,0.00017633438110351563,2.2924538389983525e-05,0.0007388114929199219,2.9153142982895398e-05,0.5463679941035606,0.044715190048714375
186,0.0002007007598876953,8.982661626231809e-05,0.0008967876434326172,0.0002544155597625951,0.5512605207932922,0.08120272933476377
191,0.00017833709716796875,1.5123144374979068e-05,0.001345348358154297,0.0009260069482340965,0.5539928288234071,0.07067093208949697
196,0.0001759052276611328,2.000685638955185e-05,0.0008302688598632813,3.100752553231819e-05,0.5865974281540358,0.13024797284541842
200,0.00018157958984375,2.7330195331476787e-05,0.0010951042175292968,0.0005703585718899981,0.632587558070239,0.09541011052639005
205,0.00018820762634277343,5.494542247023497e-05,0.0010529518127441405,0.0003738303952575153,0.6300026238921592,0.03880745714196446
210,0.00018167495727539062,2.142254285029519e-05,0.0008677005767822266,3.2836306460646026e-05,0.6310914700745187,0.053888315571657304
215,0.00018892288208007812,2.465448703389057e-05,0.0009088993072509765,9.709512843103588e-05,0.6122114232991227,0.07631852713664007
