percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,40,0.853562813969985,0.014458657934263245,0.005175471305847168,0.0013893054696790916,0.8716397483777094,0.00505293856162467
1.0,81,0.8893299971959036,0.03148004367993629,0.010209381580352783,0.001260403075446706,0.9153739825434188,0.002388884829339388
2.0,163,0.9421029328998127,0.009424525571413272,0.020014584064483643,0.006101578842834608,0.9425444282705964,0.004569830715593149
4.0,327,0.8951781562372064,0.10811850323261757,0.037029802799224854,0.005400814171293207,0.956118717938701,0.0025323715630169957
6.0,491,0.9570307075977937,0.007359783446943331,0.06226074695587158,0.006425341667284939,0.9604961337459224,0.0020419778944185786
8.0,655,0.9572821467373489,0.013516056062446621,0.08290797472000122,0.002740390513847922,0.9623487216164519,0.0009605204179534555
10.0,819,0.9625404337369693,0.005996747543707476,0.11469930410385132,0.005051004942812209,0.9626738126762485,0.001486830109597394
14.0,1146,0.964270970222537,0.0061018566283044745,0.18597853183746338,0.024526934478583257,0.9659040674203899,0.00021781463028346736
16.0,1310,0.9690727979021484,0.001544216959685851,0.22201478481292725,0.023828008324950956,0.966638899150007,0.0015013373202496603
18.0,1474,0.9660112607562108,0.002857161943310048,0.2744807004928589,0.04822396531546475,0.9662510687220854,0.0009642810632389833
20.0,1638,0.9649053393537561,0.006612781820189265,0.3088496923446655,0.02015889351620423,0.9670151827384541,0.0007686096142155264
25.0,2048,0.969197201871536,0.0018625298667476616,0.4559108018875122,0.028346196976507997,0.9672511663409271,0.0004019314517079642
