percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,1,0.08336957002896703,0.14337127367608257,0.0016782283782958984,0.0001789374719486357,0.2308976801577522,0.06408508345693856
1.0,2,-0.06215926281578943,0.32989357457424817,0.0016478896141052246,6.650860834232312e-05,0.35318889961049016,0.07600399354028352
2.0,3,0.4000746390295886,0.20475517722402853,0.0015419721603393555,5.223502958909375e-05,0.505348978897966,0.05072029693141716
4.0,5,0.35910087505005805,0.21419435852305582,0.001791536808013916,0.00026433354940101823,0.5033828196938521,0.08874619000938949
6.0,7,0.3984083859142198,0.27419893868258666,0.001558065414428711,9.823858107062176e-05,0.597168010107574,0.07011816836894826
8.0,9,0.38363681505547775,0.32135061809492466,0.0015562176704406738,1.933424372893106e-05,0.49076309840015553,0.07177283048136293
10.0,11,0.6147602203723636,0.2540045459792517,0.0018696784973144531,0.00036910572716905945,0.4984736514636287,0.13953774534387303
14.0,15,0.49332151418711856,0.25931404276664416,0.001810312271118164,0.0003773771106896904,0.595851037715183,0.06402535463770692
16.0,17,0.6537797360461395,0.20176337891709256,0.0018602609634399414,0.0003681676380955637,0.638625635848324,0.09674421280365293
18.0,19,-0.23490223763405488,1.4603189836034822,0.0020679235458374023,0.0005936331650868937,0.7131349487171952,0.05740119619360106
20.0,21,0.5937648274578187,0.1940775949008061,0.0018039345741271973,0.0001494295339336397,0.7140063144660511,0.07178933402499114
25.0,26,0.6257322671675394,0.1592877418767035,0.0017472505569458008,6.587464784268854e-05,0.7088536606622364,0.07366994945204683
