percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,40,0.911470963869257,0.022480971879215488,0.015241265296936035,0.011725150227291736,0.9101439543557169,0.005700703457813391
1.0,81,0.9587456903051188,0.0042168739407187185,0.019743025302886963,0.006900297674378328,0.9598872475825482,0.001159668093110151
2.0,163,0.9676678638922586,0.0023741928140422934,0.06067723035812378,0.030713021068690293,0.9663898239651506,0.0008968660506436723
4.0,327,0.9689779255209637,0.0022701188353934365,0.16093552112579346,0.042112484377877256,0.9699234821393395,0.001191109065269722
6.0,491,0.9707508638633808,0.003101511202693657,0.19651079177856445,0.02615967362485,0.969706453388553,0.0009260784137916111
8.0,655,0.971311294336884,0.0009237665385700462,0.3573915362358093,0.07022282430568018,0.9692255967718715,0.0007138900215512842
10.0,819,0.9699475429535396,0.0030904491608620193,0.4217544198036194,0.05503048334507822,0.9686981633383097,0.0009371134752577068
14.0,1146,0.9712527562425178,0.0029407263204680595,1.26149582862854,0.21645753131084136,0.9695897752714531,0.0011203044423854554
16.0,1310,0.9694350770977974,0.0028244362619325924,1.368899941444397,0.29762274759348856,0.9691774341004026,0.000464250463091852
18.0,1474,0.9712168824187764,0.0014668439888028777,1.658021330833435,0.24149757658599028,0.9692067139661391,0.0006322205610892606
20.0,1638,0.9713408812231943,0.001691700220623833,2.3741707801818848,0.3024867844577807,0.9689460346322052,0.0009554415590356225
25.0,2048,0.9715604978200942,0.0023545258467416123,4.008819401264191,0.48035330457416325,0.9699910433501889,0.0008370776499342165
